id;code;NbDoc;Pertinence;parent;lft;rgt;copie;geo;Explode 1;Explode 2;ajout;Supp
4726;Intern;29;35.2835682332516;;;;1269;;;;;
3978;Interview;1;0.232528313994408;;;;;;;;;
2254;Introduction;1;1.03276479244232;;;;;;;;;
439;Invention;1;0.524512350559235;;;;;;;;;
1059;Investissement;4;2.85747158527374;;;;;;;;;
4559;Investissement dans la Recherche;3;3.06459677219391;;;;1059;;;;;
1872;IT;1;0.551389813423157;;;;;;;;695;
3519;IT-NTIC;1;0.870698928833008;;;;;;;;695;
2133;L'actualité en bref;2;1.74069410562515;;;;;;;;;oui
4187;L'aéronautique;1;0.214465662837029;;;;;;;;;
4191;L'agronomie;1;0.566535174846649;;;;;;;;;
4194;L'astrophysique;1;0.412652373313904;;;;;;;;;
1609;L'Autriche et l'Espace européen de la recherche;9;8.51201191544533;;;;;;;;;oui
2777;L'Espace Européen de la Recherche;1;0.142059206962585;;;;;;;;;
835;L'informatique au service des sciences de la vie;2;1.19648665189743;;;;;;;;695;
580;L'interview du BE;2;0.567920982837677;;;;;;;;;oui
836;La place des TIC dans l'économie de Singapour;1;3.94137597084045;;;;;;;;695;
1036;La Pologne au coeur de l'actualité;1;0.425384074449539;;;;;;;;;oui
1093;La Pologne au coeur de l'actualité scientifique;8;5.8790462911129;;;;;;;;;oui
1294;La Pologne et le nucléaire;1;0.833223938941956;;;;;;;;;oui
1431;La Pologne et le spatial;2;0.934346377849579;;;;;;;;;oui
653;La R&D polonaise;3;1.94142705202103;;;;;;;;;oui
2006;La recherche en Pologne;4;3.85171538591385;;;;;;;;;oui
1553;La Suède en bref;12;9.3411106467247;;;;;;;;;oui
4189;La téléchirurgie;1;0.513576924800873;;;;;;;;;
1826;Lancement;5;7.68097740411758;;;;;;;;;
1037;Laser;2;1.30309504270554;;;;;;;;;
4309;Lasers;1;0.289135217666626;;;;;;;;;
1551;Le dossier du mois : Initiatives environnementales danoises;1;0.582533240318298;;;;;;;;;oui
1498;Le dossier du mois : la recherche au Groenland;1;0.470576256513596;;;;;;;;;oui
743;Le point sur;4;3.80729418992996;;;;;;;;;oui
2052;Le Programme de mobilité Hubert Curien Amadeus;4;3.29851573705673;;;;;;;;;oui
1764;Le programme de recherche Franco-Slovaque PHC Stefanik;1;1.33432281017303;;;;;;;;;oui
1398;Lecture;1;0.654302895069122;;;;;;;;;
2139;Législation;21;40.520712018013;;;;;;;;;
1943;Législation suisse;1;0.275645107030869;;;;2139;;;;;
1450;Les matériaux de demain;1;0.962013244628906;;;;;;;;;oui
1862;Les recherches du programme Stefanik;2;1.07253476977348;;;;;;;;;oui
1254;Les scientifiques polonais à l'honneur;1;1.136274933815;;;;;;;;;oui
4424;Lettonie, bilan scientifique 2013;1;1.35548985004425;;;;;;;;;oui
4645;LHC;2;0.905400454998016;;;;;;;;;oui
1180;Linguistique;3;3.29510354995728;;;;;;;;;
1245;Logistique;8;9.94274467229843;;;;;;;;;
1582;Lumière sur ...;1;0.916945457458496;;;;;;;;;oui
4478;Macrotechnologies;1;2.64820241928101;;;;;;;;;
3381;Magnétisme et mémoires;2;2.26689571142197;;;;;;;;;
4630;Maintenance;1;1.05945813655853;;;;;;;;;
4602;Maîtrise d'ambiance;1;1.09281957149506;;;;;;;;;
899;Maladie d'Alzheimer;1;1.26305949687958;;;;;;;;;
427;Maladies cardiaques;1;0.427579879760742;;;;;;;;;
2307;Manifestation;2;3.33319020271301;;;;;;;;;
1655;Manifestation scientifique;1;1.83624565601349;;;;2307;;;;;
2573;Manifestations internationales;1;0.667023658752441;;;;2307;;;;;
1451;Marché scientifique;1;0.293852597475052;;;;;;;;;
797;Marine;1;0.583271682262421;;;;;;;;;
