id;code;des;niveau;parent;lft;rgt;copie;geo;Explode 1;Explode 2;Modif;Supp
3980; PUBLICATIONS;domaine;0;;-1;-1;;;;;;
2450; Sciences sociales ;domaine;0;;-1;-1;;;;;;
1434;5ème Salon CampusFrance Pérou - Mobilité étudiante en France;domaine;0;;-1;-1;;;;;;
1410;7ème PCRDT ;domaine;0;;-1;-1;;;;;;
483;A la Une;domaine;0;;-1;-1;;;;;;
347;A lire;domaine;0;;-1;-1;;;;;;
1919;Académie Slovaque des Sciences;domaine;0;;-1;-1;;;;;;
497;Académique;domaine;0;;-1;-1;;;;;;
4158;Accidentologie/ Automobile;domaine;0;;-1;-1;;;;;;
671;Accord;domaine;0;;-1;-1;;;;;;
1757;Accords;domaine;0;;-1;-1;671;;;;;
4392;Accords bilatéraux;domaine;0;;-1;-1;;;;;;
4412;Accords de coopération en R&D;domaine;0;;-1;-1;;;;;;
663;Acoustique;domaine;0;;-1;-1;;;;;;
3975;Acoustique - Electronique;domaine;0;;-1;-1;;;;;;
4305;Acoustique / Aéronautique;domaine;0;;-1;-1;;;;;;
4301;Acoustique / Automobile;domaine;0;;-1;-1;;;;;;
4029;Acoustique / Neurosciences;domaine;0;;-1;-1;;;;;;
4027;Acoustique / Transport ferroviaire;domaine;0;;-1;-1;;;;;;
2832;Acoustique/Informatique/Environnement;domaine;0;;-1;-1;;;;;;
419;Actions dans le paysage scientifique;domaine;0;;-1;-1;;;;;;
881;Activités cérébrales;domaine;0;;-1;-1;;;;;;
2085;Activités en émergence;domaine;0;;-1;-1;;;;;;
1773;Actu - Innovation ;domaine;0;;-1;-1;1907;;;;;
2190;Actu-Innnovations;domaine;0;;-1;-1;1907;;;;;
1698;Actu-Innovation;domaine;0;;-1;-1;1907;;;;;
1845;Actu-Innovations;domaine;0;;-1;-1;1907;;;;;
1952;Actu-Innvoations;domaine;0;;-1;-1;1907;;;;;
2021;Actu-Innvovations;domaine;0;;-1;-1;1907;;;;;
1994;Actua-Innovations;domaine;0;;-1;-1;1907;;;;;
475;Actualité;domaine;0;;-1;-1;724;;;;;
1907;Actualité - Innovation;domaine;0;;-1;-1;;;;;;
384;Actualité de l'Ambassade;domaine;0;;-1;-1;;;;;;
2202;Actualité de l'enseignement supérieur et de la recherche ;domaine;0;;-1;-1;;;;;;
3065;Actualité des sciences;domaine;0;;-1;-1;;;;;;
3080;Actualité du site;domaine;0;;-1;-1;3686;;;;;
3635;Actualité du site internet;domaine;0;;-1;-1;3686;;;;;
633;Actualité en bref;domaine;0;;-1;-1;;;;;;
348;Actualité Innovation;domaine;0;;-1;-1;1907;;;;;
1247;Actualité Innvovation;domaine;0;;-1;-1;1907;;;;;
1006;Actualité scientifique;domaine;0;;-1;-1;;;;;;
2739;Actualité scientifique - Nouveaux rapports;domaine;0;;-1;-1;1006;;;;;
4161;Actualité scientifique et technologique;domaine;0;;-1;-1;;;;;;
428;Actualité- Scientifiques & politique;domaine;0;;-1;-1;;;;;;
850;Actualité-Innovation;domaine;0;;-1;-1;1907;;;;;
1926;Actualité-Innovations;domaine;0;;-1;-1;1907;;;;;
724;Actualités;domaine;0;;-1;-1;;;;;;
796;Actualités du service;domaine;0;;-1;-1;3696;;;;;
3696;Actualités du service scientifique;domaine;0;;-1;-1;;;;;;
3686;Actualités du site internet;domaine;0;;-1;-1;;;;;;
562;Actualités Innovation;domaine;0;;-1;-1;1907;;;;;
924;Actualités Innovations;domaine;0;;-1;-1;1907;;;;;
2793;Actualités scientifiques;domaine;0;;-1;-1;;;;;;
573;Actualités scientifiques de la région de Canton;domaine;0;;-1;-1;1006;Canton;;;;
1510;Actualités-Innovations;domaine;0;;-1;-1;1907;;;;;
1884;Actualités-Innvoations;domaine;0;;-1;-1;1907;;;;;
