id;code;desc;poids;nbDoc
695;Technologie de l'information et de la communication;domaine;355;1064
2551;Science et technologies de l'information et de la communication;domaine;2;756
953;Technologies de l'information;domaine;660;331
4178;Télécommuications - Autoroutes de l'information;domaine;2;146
350;Espace;domaine;215;123
2029;Informatique et télécommunications;domaine;162;100
485;NTIC;domaine;161;86
360;Politique de la recherche;domaine;147;76
336;TIC;domaine;172;75
337;Informatique;domaine;91;60
824;Télécommunications;domaine;98;58
356;Politique scientifique;domaine;125;56
333;Politique technologique;domaine;124;54
322;Environnement;domaine;83;49
509;En bref;domaine;90;44
334;Médecine;domaine;78;41
662;Techniques de l'information et de la communication;domaine;101;38
381;Innovation;domaine;65;37
1844;Baromètre;domaine;72;36
1067;Politique scientifique et technologique;domaine;72;36
329;Energie;domaine;70;35
980;Politique scientifique et technique;domaine;66;32
513;Nouvelles technologies;domaine;67;31
359;Energie & Environnement;domaine;80;29
916;Conférence;domaine;2;26
2812;Régulation;domaine;52;26
362;Physique;domaine;63;25
342;électronique;domaine;38;24
735;Télécommunication;domaine;29;24
335;Aéronautique;domaine;26;22
3900;Télécoms - Informatique;domaine;44;22
372;Nanotechnologies;domaine;23;20
328;Biologie;domaine;27;19
404;Innovation et valorisation de la recherche;domaine;51;19
367;Transports;domaine;40;19
473;Coopération;domaine;38;18
346;Focus;domaine;45;18
650;Dossier;domaine;32;17
344;Evènement;domaine;31;17
1130;Innovation et transfert de technologie;domaine;42;17
444;Sciences physiques et nanotechnologies;domaine;36;17
1056;Publication;domaine;8;16
522;Sciences de la Vie;domaine;36;16
2802;Spécial;domaine;32;16
3984;Informatique - Electronique - Communication;domaine;30;15
3557;Technologies de l'information - Communications;domaine;30;15
1907;Actualité - Innovation;domaine;0;14
3140;Dossier sectoriel;domaine;28;14
875;Optoélectronique;domaine;11;14
3694;Politique & organisation de la recherche;domaine;28;14
978;STIC;domaine;29;14
476;Editorial;domaine;18;13
2612;Politique de la recherche - Enseignement supérieur;domaine;26;13
607;Politique de recherche;domaine;26;13
364;Santé;domaine;17;13
658;Sécurité;domaine;22;13
1968;Telecoms;domaine;26;13
2124;Informatique-Télécommunication;domaine;24;12
332;Electromobilité;domaine;28;11
578;En direct des labos;domaine;25;11
636;Industrie;domaine;22;11
1269;Internet;domaine;22;11
1896;POLITIQUE ET ORGANISATION DE LA RECHERCHE;domaine;22;11
446;Robotique;domaine;21;11
981;Sciences de l'ingénieur;domaine;22;11
1906;Sciences et Technologies de l'Information et des Télécommunications;domaine;4;11
486;spatial;domaine;18;11
887;Education;domaine;16;10
2139;Législation;domaine;20;10
521;Optique;domaine;19;10
461;Politique scientifique, innovation, universités;domaine;30;10
595;Recherche Agronomique;domaine;0;10
2122;Réseaux et télécommunications;domaine;20;10
4449;Science des aliments;domaine;0;10
2318;Construction - Transports;domaine;18;9
369;Evènements;domaine;21;9
2738;Informatique, robotique et micro-électronique;domaine;18;9
1750;Stratégie et politique technologique;domaine;18;9
682;Technologie;domaine;19;9
493;technologies;domaine;18;9
386;Agronomie;domaine;10;8
780;Automobile;domaine;16;8
1256;Evénements scientifiques;domaine;17;8
343;Matériaux;domaine;15;8
3812;Mécanique - Energétique;domaine;16;8
2750;Politique et vie scientifique et technologique;domaine;16;8
442;Recherche;domaine;18;8
4001;Salons - Expositions à Singapour;domaine;6;8
1879;Sciences de l'information et de la communication;domaine;20;8
1901;Stratégies et politiques technologiques;domaine;20;8
1902;Article de synthèse;domaine;18;7
558;Astrophysique;domaine;5;7
323;chimie;domaine;10;7
1631;Communication;domaine;2;7
3847;Informatique - Electronique - Télécommunications;domaine;14;7
495;Mathématiques;domaine;12;7
1206;Médecine - Santé;domaine;14;7
838;Nucléaire;domaine;10;7
792;Politique;domaine;10;7
2161;Politique et organisation de la vie scientifique;domaine;14;7
3315;Science de l'information;domaine;14;7
1489;Bâtiment;domaine;0;6
543;Collaboration;domaine;0;6
517;Colloque;domaine;0;6
423;Enseignement supérieur;domaine;8;6
2625;Informatique - Télécommunications;domaine;12;6
590;Informatique et TIC;domaine;18;6
1493;Sciences et technologies de l'information;domaine;12;6
551;Sciences humaines et sociales;domaine;12;6
3617;Travaux Publics;domaine;0;6
456;Agenda;domaine;10;5
1131;Appel à projets;domaine;10;5
537;Coopération internationale;domaine;10;5
628;Divers;domaine;12;5
2527;Electronique et Optoélectronique;domaine;10;5
596;En ce moment au Danemark;domaine;15;5
4498;Energétique;domaine;0;5
954;Entreprise;domaine;2;5
2534;Evènements et conférences;domaine;10;5
2949;Humanité - Sciences sociales;domaine;10;5
3215;Informatique - Electronique;domaine;10;5
1609;L'Autriche et l'Espace européen de la recherche;domaine;10;5
1245;Logistique;domaine;6;5
361;Mécanique;domaine;0;5
2170;Médecine, santé;domaine;10;5
377;Neurosciences;domaine;6;5
3411;Politique et informations générales scientifiques;domaine;10;5
1032;Prix;domaine;7;5
1910;Sciences de l'homme et de la société;domaine;10;5
2600;Sciences de l'information;domaine;10;5
462;Sciences de la vie et santé;domaine;15;5
701;Sciences physiques et de la matière;domaine;11;5
556;séminaire;domaine;0;5
1397;Télécom;domaine;7;5
704;Transport;domaine;8;5
602;Université;domaine;2;5
506;Astronomie;domaine;4;4
400;Brèves;domaine;8;4
2367;Communication du service scientifique;domaine;8;4
1023;Coopération scientifique et technologique;domaine;5;4
2141;Coopération Universitaire, Scientifique et Technologique ;domaine;8;4
589;Défense;domaine;0;4
4511;Observation de la Terre;domaine;0;4
531;Océanographie;domaine;4;4
3177;Politique et informations scientifiques;domaine;8;4
3066;Politique scientifique - Universités - Formations;domaine;8;4
1005;R&D industrielle;domaine;11;4
1047;Recherche et Développement;domaine;8;4
1216;Réseaux et Télécoms;domaine;8;4
1069;Science;domaine;8;4
554;Sciences humaines;domaine;10;4
3023;Sciences physiques et de l'ingénieur;domaine;8;4
1679;Sécurité informatique;domaine;8;4
4471;Arts;domaine;0;3
4410;Big Data;domaine;9;3
3479;Congrès et conventions;domaine;6;3
613;Coopération scientifique;domaine;7;3
710;Distinction;domaine;0;3
2271;Environnement - Sciences du globe;domaine;6;3
2488;Evènements & Conférences;domaine;6;3
1162;Evènements en Suède;domaine;6;3
366;Imagerie médicale;domaine;0;3
4474;Information scientifique;domaine;0;3
3944;Informatique - Electronique - Communications;domaine;6;3
3241;Informatique appliquée;domaine;4;3
1136;Informatique et technologies de l'information et des télécommunications;domaine;6;3
2639;Instrumentation;domaine;0;3
2884;Mécanique, Transport, Génie Civil;domaine;6;3
892;Photonique;domaine;6;3
2152;Physique, Chimie;domaine;6;3
2035;Politique scientifique & informations générales;domaine;6;3
1034;Politique scientifique et fonds européens;domaine;7;3
3531;Robotique et Micro-Systèmes;domaine;6;3
528;Santé - Medecine;domaine;6;3
370;Société;domaine;9;3
3167;Technologies de l'information - Robotique;domaine;6;3
4465;Technologies de l'Information et des Télécommunications;domaine;0;3
3946;Télécommunications & Informatique;domaine;6;3
2696;Vie scientifique;domaine;6;3
663;Acoustique;domaine;4;2
2793;Actualités scientifiques;domaine;4;2
739;Aérospatial;domaine;4;2
450;agriculture;domaine;3;2
4205;Anniversaire;domaine;0;2
1099;Appel à Participation;domaine;4;2
4688;Appels d'offre;domaine;0;2
349;Au coeur des régions;domaine;4;2
4652;Autoroutes de l'information;domaine;0;2
913;Biomédical;domaine;2;2
4679;Biotechnologies;domaine;0;2
4668;Cinquantenaire du CNET;domaine;0;2
382;climat;domaine;4;2
1697;Conférences, distinctions, événements divers;domaine;4;2
1841;Congrès;domaine;0;2
