"doc_id";"titre";"ME";"MEEnf";"ICE";"ICEEnf";"nbDoc";"nbTag";"nbUti";"nbDocEnf";"nbTagEnf";"nbUtiEnf"
"1";"Un professeur de l'Université de Tel-Aviv lauréat du prix Nobel de physique";"2";"1";"0.250000";"1.000000";"1";"2";"1";"1";"1";"1"
"2";"Un modèle mathématique pour prédire les flux dans les récifs coralliens";"2";"1";"0.250000";"1.000000";"1";"2";"1";"1";"1";"1"
"7";"Les représentations internes seraient générées au niveau thalamocortical";"2";"4";"0.062500";"0.250000";"1";"2";"1";"2";"2";"1"
"18";"Des chercheurs israéliens développent un nouveau modèle de la mémoire associative";"2";"4";"0.062500";"0.250000";"1";"2";"1";"2";"2";"1"
"21";"Des cellules souches sans embryon";"2";"1";"0.250000";"1.000000";"1";"2";"1";"1";"1";"1"
"29";"Simuler l'électromobilité";"2";"4";"0.062500";"0.250000";"1";"2";"1";"2";"2";"1"
"32";"Open Access Conference à Berlin - 19 et 20 novembre 2013";"6";"4";"0.020833";"0.250000";"1";"3";"2";"2";"2";"1"
"44";"Etat de l'électromobilité dans la région Berlin-Brandebourg";"2";"1";"0.250000";"1.000000";"1";"2";"1";"1";"1";"1"
"46";"Des communications mobiles sécurisées";"6";"4";"0.020833";"0.250000";"1";"3";"2";"2";"2";"1"
"60";"Rulex : un logiciel pour l'extraction de connaissances à partir de données";"6";"4";"0.020833";"0.250000";"1";"3";"2";"2";"2";"1"
"66";"Onzième édition à Gênes du Prix National pour l'Innovation PNI Cube";"6";"4";"0.020833";"0.250000";"1";"3";"2";"2";"2";"1"
"75";"Développement d'un système innovant pour la cogénération d'électricité et d'énergie thermique à partir de source solaire thermique à concentration";"6";"4";"0.020833";"0.250000";"1";"3";"2";"2";"2";"1"
"78";"Des cartes électroniques robustes et légères imprimées avec des encres organiques sur de grandes surfaces en plastique";"6";"4";"0.020833";"0.250000";"1";"3";"2";"2";"2";"1"
"132";"Un nouveau président pour Caltech";"6";"1";"0.083333";"1.000000";"1";"3";"2";"1";"1";"1"
"134";"Supercomputing 2013 : quoi de neuf dans le monde du Calcul Haute Performance (HPC) et du Big Data ?";"3";"4";"0.041667";"0.250000";"1";"3";"1";"2";"2";"1"
"140";"Open Doors 2013 : dynamisme de la mobilité étudiante internationale confirmée, surtout au niveau \"undergraduate\"";"2";"1";"0.250000";"1.000000";"1";"2";"1";"1";"1";"1"
"144";"Energy-Water Nexus : un retour de la conférence annuelle de l'Association Américaine des Ressources en Eau (AWRA'13), Portland, Oregon";"3";"4";"0.041667";"0.250000";"1";"3";"1";"2";"2";"1"
"147";"Une nouvelle carte globale de l'utilisation des sols";"2";"4";"0.062500";"0.250000";"1";"2";"1";"2";"2";"1"
"161";"Des financements pour les sciences de l'ingénieur";"1";"4";"0.125000";"0.250000";"1";"1";"1";"2";"2";"1"
"189";"2ème Colloque International sur l'IRM à très haut champ magnétique";"6";"1";"0.083333";"1.000000";"1";"3";"2";"1";"1";"1"
"208";"En 2012, les dépenses de R&D les plus élevées depuis la création de la République Tchèque";"6";"4";"0.020833";"0.250000";"1";"3";"2";"2";"2";"1"
"211";"Des vortex magnétiques pour un nouveau procédé de stockage des données informatiques";"6";"4";"0.020833";"0.250000";"1";"3";"2";"2";"2";"1"
"217";"26ème Symposium en Physique et Technologie des Plasmas (SPPT) à Prague";"6";"4";"0.020833";"0.250000";"1";"3";"2";"2";"2";"1"
"220";"Structure en double hélice de l'ARN poly (rA)";"12";"4";"0.010417";"0.250000";"1";"4";"3";"2";"2";"1"
"235";"14e Forum international sciences et société de l'Acfas";"6";"1";"0.083333";"1.000000";"1";"3";"2";"1";"1";"1"
"241";"Renforcement de la recherche sur l'Antarctique";"2";"4";"0.062500";"0.250000";"1";"2";"1";"2";"2";"1"
"260";"Conférence sur le Big Data à Berlin / Lancement d'un programme fédéral de 30 millions d'euros";"6";"4";"0.020833";"0.250000";"1";"3";"2";"2";"2";"1"
"266";"Bilan de la conférence Falling Walls 2013";"12";"1";"0.041667";"1.000000";"1";"4";"3";"1";"1";"1"
"271";"Les ambitions européennes de la science espagnole";"6";"4";"0.020833";"0.250000";"1";"3";"2";"2";"2";"1"
"278";"Indra prend la tête du projet Européen de R&D G-SEXTANT";"4";"4";"0.031250";"0.250000";"1";"2";"2";"2";"2";"1"
"295";"De nouvelles cellules solaires organiques, transparentes et plus efficaces";"6";"4";"0.020833";"0.250000";"1";"3";"2";"2";"2";"1"
"303";"\"L'espace : un actif pour l'humanité\" : conférence à Séville";"4";"1";"0.125000";"1.000000";"1";"2";"2";"1";"1";"1"
"305";"Un procédé à partir d'ions zinc incorporé dans un matériau microporeux pour lutter contre le cancer";"6";"4";"0.020833";"0.250000";"1";"3";"2";"2";"2";"1"
"314";"Le soleil recréé dans un coffrage de béton : ITER";"6";"4";"0.020833";"0.250000";"1";"3";"2";"2";"2";"1"
"320";"Le congrès international iMed5.0 à Lisbonne";"6";"4";"0.020833";"0.250000";"1";"3";"2";"2";"2";"1"
"326";"Deux espèces d'animaux en voie de disparition répertoriées dans le parc Mata Nacional do Buçaco";"6";"4";"0.020833";"0.250000";"1";"3";"2";"2";"2";"1"
"338";"Un nouveau centre de recherche sur les villes intelligentes et durables";"6";"4";"0.020833";"0.250000";"1";"3";"2";"2";"2";"1"
"341";"Un candidat extérieur pour la première fois président de University College Dublin";"6";"4";"0.020833";"0.250000";"1";"3";"2";"2";"2";"1"
"358";"Développement et commercialisation du premier test sanguin de diagnostic prédictif pour la pré-éclampsie";"8";"4";"0.015625";"0.250000";"1";"4";"2";"2";"2";"1"
"364";"Dernières statistiques des dépenses en R&D en Irlande";"6";"1";"0.083333";"1.000000";"1";"3";"2";"1";"1";"1"
"366";"12 millions d'euros de projets de recherche financés par le Health Research Board";"8";"4";"0.015625";"0.250000";"1";"4";"2";"2";"2";"1"
"384";"La résilience du réseau électrique : une priorité aux Etats-Unis";"8";"1";"0.062500";"1.000000";"1";"4";"2";"1";"1";"1"
"386";"L'agriculture de précision : situation et perspectives de développement aux Etats-Unis";"8";"1";"0.062500";"1.000000";"1";"4";"2";"1";"1";"1"
"388";"Gestion des risques liés aux nanotechnologies. Une coopération Europe-Etats-Unis";"12";"4";"0.010417";"0.250000";"1";"4";"3";"2";"2";"1"
"391";"Conférence à l'Université de Yale \"Rio+20 to 2015: A New Architecture for a Sustainable New World\"";"3";"4";"0.041667";"0.250000";"1";"3";"1";"2";"2";"1"
"449";"Engagement de la France dans le projet European Spallation Source (ESS)";"6";"4";"0.020833";"0.250000";"1";"3";"2";"2";"2";"1"
"452";"Objectif \"Horizon 2020\" : présentation du département de technologies biochimiques de la STU";"6";"4";"0.020833";"0.250000";"1";"3";"2";"2";"2";"1"
"455";"Les archéologues slovaques du SAHI découvrent cinq citées maya au Guatemala";"6";"4";"0.020833";"0.250000";"1";"3";"2";"2";"2";"1"
"458";"Lancement d'un projet de recherche franco-helvético-slovaque autour de l'abeille";"6";"4";"0.020833";"0.250000";"1";"3";"2";"2";"2";"1"
"467";"En Bref : Premier satellite slovaque - Nouveau musée technique à Kosice - 30 places de parkings pour véhicules électriques à Bratislava";"6";"4";"0.020833";"0.250000";"1";"3";"2";"2";"2";"1"
"470";"Annonce des résultats de la 1ère édition du prix M. R. Stefanik";"6";"4";"0.020833";"0.250000";"1";"3";"2";"2";"2";"1"
"473";"7ème édition de la nuit des chercheurs à Bratislava";"6";"4";"0.020833";"0.250000";"1";"3";"2";"2";"2";"1"
"476";"Une étude israélienne s'intéresse au lien entre complexité de l'environnement et interactions sociales";"2";"4";"0.062500";"0.250000";"1";"2";"1";"2";"2";"1"
"479";"Une équipe du Technion met au point des \"super-plantes\" résistant à la sécheresse";"2";"1";"0.250000";"1.000000";"1";"2";"1";"1";"1";"1"
"492";"Le Technion 18ème mondial en informatique au classement de Shanghai";"2";"1";"0.250000";"1.000000";"1";"2";"1";"1";"1";"1"
"496";"Une équipe de chercheurs d'Osaka a développé une souris d'ordinateur contrôlée par la respiration";"3";"1";"0.166667";"1.000000";"1";"3";"1";"1";"1";"1"
"498";"Signature d'un accord entre l'ERCIM et le W3C/Keio sur la standardisation des technologies Web pour les publications numériques";"3";"1";"0.166667";"1.000000";"1";"3";"1";"1";"1";"1"
"509";"Une approche \"agile\" pour les startups en sciences de la vie";"9";"1";"0.055556";"1.000000";"1";"3";"3";"1";"1";"1"
"516";"La recherche en santé-environnement aux Etats-Unis : exemple de l'évaluation des risques et des perturbateurs endocriniens";"8";"4";"0.015625";"0.250000";"1";"4";"2";"2";"2";"1"
"519";"Bilan sur les émissions de gaz à effet de serre des Etats-Unis";"8";"4";"0.015625";"0.250000";"1";"4";"2";"2";"2";"1"
"522";"Une nouvelle politique de gestion de l'eau potable à Hong Kong";"6";"1";"0.083333";"1.000000";"1";"3";"2";"1";"1";"1"
"524";"Trois universités hongkongaises dans le Top 10 du classement des universités d'Asie en 2013";"4";"4";"0.031250";"0.250000";"1";"2";"2";"2";"2";"1"
"527";"Le SRAS, dix ans après";"4";"1";"0.125000";"1.000000";"1";"2";"2";"1";"1";"1"
"542";"En Bref : Création d'une Chaire \"Geography and Resource Management\" à CUHK - Symposium développement durable - HK PhD Fellowship Scheme - Conférences";"6";"1";"0.083333";"1.000000";"1";"3";"2";"1";"1";"1"
"555";"La soie d'araignée décodée";"2";"1";"0.250000";"1.000000";"1";"2";"1";"1";"1";"1"
"565";"Des nanoparticules capables de s'auto-assembler";"2";"4";"0.062500";"0.250000";"1";"2";"1";"2";"2";"1"
"570";"Congrès sur le rôle de la technologie dans la transition démographique";"4";"4";"0.031250";"0.250000";"1";"2";"2";"2";"2";"1"
"573";"Une nouvelle méthode pour anticiper l'efficacité de la radiothérapie utilisée pour soigner le cancer du col de l'utérus";"6";"4";"0.020833";"0.250000";"1";"3";"2";"2";"2";"1"
"576";"Un nouveau super drone testé en Norvège";"6";"4";"0.020833";"0.250000";"1";"3";"2";"2";"2";"1"
"582";"Nouveaux procédés de transformation du bois en biocarburant";"6";"4";"0.020833";"0.250000";"1";"3";"2";"2";"2";"1"
"596";"Une chercheuse Thaïlandaise remporte le 1er prix de l'EURAXESS Science Slam ASEAN 2013";"6";"4";"0.020833";"0.250000";"1";"3";"2";"2";"2";"1"
"608";"Médias digitaux et jeux vidéo à Singapour";"6";"1";"0.083333";"1.000000";"1";"3";"2";"1";"1";"1"
"613";"Découverte d'un puissant antibiotique extrait du mangoustan";"6";"4";"0.020833";"0.250000";"1";"3";"2";"2";"2";"1"
"616";"Bioimagerie : aperçu de la recherche à Singapour";"6";"1";"0.083333";"1.000000";"1";"3";"2";"1";"1";"1"
"618";"Une protéine à l'origine des sens sur-développés";"4";"4";"0.031250";"0.250000";"1";"2";"2";"2";"2";"1"
