login,groupe,gestion
abouaniche,CEN 2,admin
berd465,NET,admin
bertille.liberos,CEN 1,admin
maryam.douari,ATI,admin
flo.fischer,CEN 2,admin
clj.fortune,NET,admin
tghaplanyan,NET,admin
morganehorellou,NET,admin
aqua-lyly,CEN 1,admin
achraflansari,THYP,admin
sluu13,NET,admin
masseix.kevin,THYP,admin
angeline.perrot,CEN 2,admin
alexane.querrec,CEN 2,admin
chloe.riffault,CEN 1,admin
alexis_souchet,CEN 1,admin
marvelaora,ATI,admin
arnaudlaborderie,intervenant,admin
gaetan.darquie,intervenant,admin
samszo,intervenant,admin
