Nom,prénom,spécialité,Société savante,Société savante,Société savante,Société savante,Société savante,Société savante,Société savante,Société savante,Société savante,Société savante,Société savante,Société savante
Pasteur,Louis,,Académie d'agriculture de France,Académie des sciences,"Académie des sciences, inscriptions et belles-lettres de Toulouse",Académie française,Académie vétérinaire de France,Comité des travaux historiques et scientifiques,Société d'émulation du Jura,Société nationale de médecine et des sciences médicales de Lyon,,,,
Bernard,Claude,,Académie des sciences,"Académie des sciences, belles-lettres et arts de Lyon",Académie nationale de médecine,Académie française,Association française pour l'avancement des sciences,,Société d'études scientifiques de Lyon,Société philomathique de Paris,,,,
Flammarion,Camille,,"Académie des sciences, arts et belles-lettres de Caen ",Alliance scientifique universelle ,Société astronomique de France,"Société des lettres, sciences et arts des Alpes-Maritimes",,,,,,,,
Pouchet,Félix-Archimède,,Comité des travaux historiques et scientifiques,Société linnéenne de Normandie,,,,,,,,,,
robin,Charles,,Académie des sciences,Académie nationale de médecine,Société anatomique de Paris,,,,,,,,,
Charcot,,,Académie de marine,Académie des sciences,Académie nationale de médecine,,Association internationale de géodésie,Société de géographie,,,,,,
Bichat,Xavier,,Société médicale d'émulation de Paris,Société philomathique de Paris, ,,,,,,,,,
Dupuytren,,,Académie des sciences,Académie nationale de médecine,Société anatomique de Paris,,,,,,,,,
Laënnec,Hiacinthe,,Académie nationale de médecine,Société anatomique de Paris,,,,,,,,,,
Geoffroy Saint-hilaire,Etienne,,Académie des sciences,Académie nationale de médecine,Comité des travaux historiques et scientifiques,Institut de France (Classe des sciences physiques et mathématiques),,,,,,,,
Brongniart,Alexandre,mineralogiste,Académie des sciences,Société géologique de France,Société linnéenne de Normandie,Société philomathique de Paris,Institut de France,,,,,,,
Candolle,,,Académie des sciences,Académie d'agriculture de France,Institut de France,Société d'Arcueil,Société de physique et d'histoire naturelle de Genève,Société linnéenne de Lyon,Société linnéenne de Paris,,,,,
Dumeril,,,Académie des sciences,Académie nationale de médecine,Institut de France,Société des observateurs de l'homme,Société philomathique de Paris,,,,,,,
Daubenton,,naturaliste,Académie royale des sciences,Société philomathique de Paris,,,,,,,,,,
Cuvier,,,Académie des inscriptions et belles-lettres,Académie des sciences,"Académie des sciences, belles-lettres et arts de Rouen",Académie française,Institut de France,Société de géographie,Société philomathique de Paris,Société linnéenne de Paris,,,,
Vauquelin,,,Académie d'agriculture de France,Académie des sciences,"Académie des sciences, belles-lettres et arts de Rouen",Académie nationale de médecine,Institut de France,Société d'encouragement pour l'industrie nationale,Société philomathique de Paris,,,,,
Berthelot,Marcellin,,Académie d'agriculture de France,Académie des sciences,"Académie des sciences, inscriptions et belles-lettres de Toulouse",Académie française,Comité des travaux historiques et scientifiques,Société philomathique de Paris,,,,,,
Bonnet,Amédée,,Académie d'agriculture de France,Académie des sciences,"Académie des sciences, belles-lettres et arts de Lyon",Académie nationale de chirurgie,Académie nationale de médecine,Société botanique de Lyon,Société d’horticulture pratique du Rhône,,,,,
Buffon,,,Académie d'agriculture de France,Académie de Stanislas,"Académie des sciences, arts et belles-lettres de Dijon",Académie française,Académie royale des sciences,,,,,,,
Elie de Beaumont,,,Académie d'agriculture de France,Académie des sciences,"Académie des sciences, arts et belles-lettres de Caen ","Académie des sciences, belles-lettres et arts de Savoie",Comité des travaux historiques et scientifiques,Société de géographie,Société géologique de France,Société linnéenne de Normandie,,,,
Flahaut,Charles,,Académie d'agriculture de France,Académie des sciences,Association internationale des botanistes ,Comité des travaux historiques et scientifiques,Société d'horticulture et d'histoire naturelle de l'Hérault,Société des hautes températures et des réfractaires,,,,,,
Fourcroy,Antoine-François,,Académie d'agriculture de France,"Académie des sciences, belles-lettres et arts de Rouen",Académie nationale de médecine,Académie royale des sciences,Institut de France,Société des observateurs de l'homme,Société linnéenne de Paris,Société nationale des antiquaires de France,Société philomathique de Paris,,,
Milne-Edwards,Alphonse,,Académie d'agriculture de France,Académie des sciences,Académie nationale de médecine,Comité des travaux historiques et scientifiques,Société de géographie,,,,,,,
Roux,Emile,,Académie d'agriculture de France,Académie des sciences,"Académie des sciences, belles-lettres et arts de Clermont-Ferrand",Académie nationale de médecine,Académie vétérinaire de France,,,,,,,
Melchior de Vogue,harles,,Académie d'agriculture de France,Académie des inscriptions et belles-lettres,Académie française,Alliance scientifique universelle ,Société asiatique,Société de géographie de Lyon,Société nationale des antiquaires de France,Société française d'archéologie,Société de l’Orient latin,Société de l'histoire de Paris et de l'Île-de-France,,Société de l'histoire de France
Blanchard,Emile,,Académie d'agriculture de France,Académie des sciences,Comité des travaux historiques et scientifiques,Société d'histoire naturelle de Toulouse,Société linnéenne de Lyon,,,,,,,
Robin,Charles,,Académie des sciences,Académie nationale de médecine,Société anatomique de Paris,,,,,,,,,
Lortet,Pierre,,"Académie des sciences, belles-lettres et arts de Lyon",Société botanique de France,Société d'agriculture de Lyon,Société française de statistique,,,,,,,,
Margollé,Elie,,Académie du Var,,,,,,,,,,,
Sainte-Claire deville,Henri,,Société philomathique de Paris,Société Ramond,,,,,,,,,,
Reclus,Elisée,géographe,Société de géographie,Société des amis des monuments parisiens,Société Ramond,,,,,,,,,
Chevrel,Michel,chimiste,Académie d'agriculture de France,Académie des sciences,"Académie des sciences, belles-lettres et arts de Lyon",Association pour l'encouragement des études grecques en France,Comité des travaux historiques et scientifiques,,,,,,,
Figuier,louis,,Académie nationale de pharmacie,Comité des travaux historiques et scientifiques, ,,,,,,,,,
Bertillon,Louis,,Société botanique de France,Société d'anthropologie de Lyon,Société d'anthropologie de Paris,,,,,,,,,
Réaumur,René-Antoine Ferchaud de,naturaliste,"Académie des belles-lettres, sciences et arts de La Rochelle",Académie royale des sciences,,,,,,,,,,
