Bénéficiaire;Département;Nature du projet;Coût du projet;Subvention allouée;Part prise en charge;Parlementaire transmetteur;Nature;Département Parlementaire;Groupe politique du parlementaire;Lien vers données parlementaires
ABBANS-DESSOUS;25;l'aménagement de l'accès à la station d'épuration et la pose d'une clôture;19743,5;9000;0,4558462279;ACCOYER Bernard;Assemblée nationale;74;UMP;http://2007.nosdeputes.fr/ACCOYER%20Bernard/xml
ABBECOURT;60;la mise en sécurité du parking réservé au car scolaire, place de la Mairie;19787;9500;0,4801132056;MARINI Philippe;Sénat;60;UMP;http://nossenateurs.fr/MARINI%20Philippe/xml
ABBEVILLE-SAINT-LUCIEN;60;l'acquisition de tables et de bancs;2972;1400;0,4710632571;LARCHER Gérard;Sénat;78;UMP;http://nossenateurs.fr/LARCHER%20Gérard/xml
ABELCOURT;70;l'édification d'un columbarium;5525,48;2500;0,45244938;RAISON Michel;Assemblée nationale;70;UMP;http://2007.nosdeputes.fr/RAISON%20Michel/xml
ABLAINZEVELLE;62;la construction d'un bassin de rétention et d'infiltration, rue de Miraumont;56612,4;7000;0,1236478227;VANLERENBERGHE Jean-Marie;Sénat;62;UDI;http://nossenateurs.fr/VANLERENBERGHE%20Jean-Marie/xml
ABONCOURT;57;l'aménagement d'une aire de jeux, rue de Neudelange;90187;2000;0,0221761451;ADNOT Philippe;Sénat;10;NI;http://nossenateurs.fr/ADNOT%20Philippe/xml
ABONDANT;28;la réfection de la voirie rue de Dreux (tranche ferme) et rue de la Bourgeoiserie (tranche conditionnelle);248374,56;20000;0,0805235448;HAMEL Gérard;Assemblée nationale;28;UMP;http://2007.nosdeputes.fr/HAMEL%20Gérard/xml
ABONDANT;28;l'aménagement de la voirie, rue de la Demoiselle(tranche conditionnelle);9604,29;4800;0,4997766623;0;Réserve ministérielle;;;
ABONDANT;28;l'aménagement de la voirie, rue de l'Echalier (tranche conditionnelle);56592,33;20000;0,3534047812;0;Réserve ministérielle;;;
ABRIES;5;la réfection des murs du soutènement de la voie communale;14450;6928;0,4794463668;GIRAUD Joël;Assemblée nationale;5;SRC;http://2007.nosdeputes.fr/GIRAUD%20Joël/xml
ABZAC;33;la construction d'une halle commerciale;975481,46;15000;0,0153770221;0;Réserve ministérielle;;;
ACCONS;7;l'acquisition d'un terrain et l'aménagement des accès à la place publique et à l'aire de jeux;64017,22;20000;0,3124159406;0;Réserve ministérielle;;;
ACHAIN;57;l'acquisition de matériel informatique et de logiciels de gestion pour le secrétariat de mairie;5207,18;1000;0,1920425259;LEROY Philippe;Sénat;57;UMP;http://nossenateurs.fr/LEROY%20Philippe/xml
ACHERES;78;l'acquisition de tableaux numériques interactifs pour les écoles;15975;4792;0,2999687011;TASCA Catherine;Sénat;78;SOC;http://nossenateurs.fr/TASCA%20Catherine/xml
ACHEU-EN-VIMEU;80;la restauration de la sacristie de l'église;13446;4000;0,2974862413;ACCOYER Bernard;Assemblée nationale;74;UMP;http://2007.nosdeputes.fr/ACCOYER%20Bernard/xml
ACHY;60;l'acquisition d'une lame de déneigement;4500;2250;0,5;DASSAULT Olivier;Assemblée nationale;60;UMP;http://2007.nosdeputes.fr/DASSAULT%20Olivier/xml
ACHY;60;l'acquisition d'une imprimante copieur multifonctions;5300;800;0,1509433962;DASSAULT Olivier;Assemblée nationale;60;UMP;http://2007.nosdeputes.fr/DASSAULT%20Olivier/xml
ACHY;60;"l'acquisition d'une tente de type ""barnum RIVA""";3649;800;0,2192381474;DASSAULT Olivier;Assemblée nationale;60;UMP;http://2007.nosdeputes.fr/DASSAULT%20Olivier/xml
ACHY;60;l'acquisition et l'installation d'alarmes dans les bâtiments communaux;2607;700;0,2685078634;DASSAULT Olivier;Assemblée nationale;60;UMP;http://2007.nosdeputes.fr/DASSAULT%20Olivier/xml
ACHY;60;l'acquisition d'une tondeuse;1279;600;0,4691164973;ADSSAULT Olivier;Assemblée nationale;56;SRC;http://2007.nosdeputes.fr/ADSSAULT%20Olivier/xml
ACLOU;27;l'aménagement d'un site cinéraire;4130;2000;0,4842615012;NICOLAS Jean-Pierre;Assemblée nationale;27;UMP;http://2007.nosdeputes.fr/NICOLAS%20Jean-Pierre/xml
ACLOU;27;l'installation de bornes à incendie;7520;2500;0,3324468085;NICOLAS Jean-Pierre;Assemblée nationale;27;UMP;http://2007.nosdeputes.fr/NICOLAS%20Jean-Pierre/xml
ACLOU;27;travaux d'éclairage public, impasse Mare Bonne;1324,27;600;0,45307981;PONIATOWSKI Ladislas;Sénat;27;UMP;http://nossenateurs.fr/PONIATOWSKI%20Ladislas/xml
ACON;27;l'électrification des cloches de l'église;3257;1500;0,4605465152;PONIATOWSKI Ladislas;Sénat;27;UMP;http://nossenateurs.fr/PONIATOWSKI%20Ladislas/xml
ACQUIGNY;27;la construction d'une école élémentaire et l'aménagement d'un centre de loisirs;1785300;30000;0,0168038985;0;Réserve ministérielle;;;
ACY-EN-MULTIEN;60;l'acquisition d'un tracteur, d'une débroussailleuse et d'un aspirateur de feuilles;16519;8000;0,4842908166;MARINI Philippe;Sénat;60;UMP;http://nossenateurs.fr/MARINI%20Philippe/xml
ADAINCOURT;57;travaux de voirie et l'enfouissement des réseaux (1ère tranche);160688,05;10000;0,0622323813;0;Réserve ministérielle;;;
ADAINVILLE;78;la consolidation de l'enceinte du cimetière;33739,48;16000;0,4742218908;PRIMAS Sophie;Assemblée nationale;78;UMP;http://2007.nosdeputes.fr/PRIMAS%20Sophie/xml
ADAM-LES-PASSAVANT;25;la réfection de la mairie;4000,57;1500;0,3749465701;BONNOT Marcel;Assemblée nationale;25;UMP;http://2007.nosdeputes.fr/BONNOT%20Marcel/xml
ADAM-LES-PASSAVANT;25;la mise en accessibilité de la future salle de classe et la pose d'une clôture aux abords;12252,56;1100;0,0897771568;HUMBERT Jean-François;Sénat;25;UMP;http://nossenateurs.fr/HUMBERT%20Jean-François/xml
AGDE;34;l'opération de requalification du Centre Port du Cap d'Agde (1ère phase);2337000;80000;0,0342319213;D'ETTORE Gilles;Assemblée nationale;34;UMP;http://2007.nosdeputes.fr/D'ETTORE%20Gilles/xml
AGDE;34;la réfection du sol du gymnase Molinié;142140;30000;0,2110595188;D'ETTORE Gilles;Assemblée nationale;34;UMP;http://2007.nosdeputes.fr/D'ETTORE%20Gilles/xml
AGDE;34;l'acquisition et l'aménagement d'un poste de secours, Plage des Battuts;41805;10000;0,2392058366;D'ETTORE Gilles;Assemblée nationale;34;UMP;http://2007.nosdeputes.fr/D'ETTORE%20Gilles/xml
AGEL;34;la réhabilitation de la station d'épuration et l'acquisition d'un terrain en vue de la construction d'une nouvelle station d'épuration;18577;7960;0,4284868386;TROPEANO Robert;Sénat;34;RDSE;http://nossenateurs.fr/TROPEANO%20Robert/xml
AGENVILLERS;80;la réfection de la toiture et des huisseries du bâtiment des services techniques;17645;1000;0,0566732785;MATHON Gilbert;Assemblée nationale;80;SRC;http://2007.nosdeputes.fr/MATHON%20Gilbert/xml
AGINCOURT;54;la mise en accessibilité de la mairie et de l'église et l'aménagement de sanitaires à la salle des fêtes;48756,66;10000;0,2051001853;HENART Laurent;Assemblée nationale;54;UMP;http://2007.nosdeputes.fr/HENART%20Laurent/xml
AGINCOURT;54;la mise en sécurité de la traversée du village;16165,36;8000;0,4948853598;LARCHER Gérard;Sénat;78;UMP;http://nossenateurs.fr/LARCHER%20Gérard/xml
AGNAC;47;la réfection du 1er étage de la mairie et la restauration de la toiture de l'église Saint-Saturnin;58790,41;10000;0,170095769;ACCOYER Bernard;Assemblée nationale;74;UMP;http://2007.nosdeputes.fr/ACCOYER%20Bernard/xml
AGNETZ;60;la mise en accessibilité du château aux personnes handicapées et l'aménagement de réseaux d'évacuation des eaux pluviales;320761,23;100000;0,3117583755;0;Réserve ministérielle;;;
AGNICOURT-SECHELLES;2;la restructuration des cimetières;12382,99;6000;0,4845356412;LE TEXIER Raymonde;Sénat;95;SOCV;http://nossenateurs.fr/LE TEXIER Raymonde/xml
AGRIS;16;la réhabilitation d'une grange en bibliothèque;268888,33;10000;0,0371901599;MARC François;Sénat;29;SOC;http://nossenateurs.fr/MARC%20François/xml
AGUESSAC;12;"la réfection de la rue de la Calade et de la rue et du parking du lotissement ""Plan du Foirail""";25523,75;5000;0,1958959792;HERVIAUX Odette;Sénat;56;SOC;http://nossenateurs.fr/HERVIAUX%20Odette/xml
AHEVILLE;88;"la réfection de la voie communale n°3 ""Chemin de Velotte""";185615;6000;0,0323249737;GAULTIER Jean-Jacques;Assemblée nationale;88;UMP;http://2007.nosdeputes.fr/GAULTIER%20Jean-Jacques/xml
AHUILLE;53;l'aménagement paysager et urbain du centre-bourg (programmes 2012-2013);650348,12;40000;0,0615055211;ARTHUIS Jean;Sénat;53;UDI;http://nossenateurs.fr/ARTHUIS%20Jean/xml
AHUY;21;la construction d'un bâtiment de stockage et de garages communaux (2ème phase);255780,66;25000;0,0977399933;DEPIERRE Bernard;Assemblée nationale;21;UMP;http://2007.nosdeputes.fr/DEPIERRE%20Bernard/xml
AIBRE;25;la réfection de la fontaine située grande rue;13437,67;2000;0,1488353264;BONNOT Marcel;Assemblée nationale;25;UMP;http://2007.nosdeputes.fr/BONNOT%20Marcel/xml
AIGREMONT;30;la réfection de la voirie et le curage de ruisseaux (programme 2011);111961,72;8000;0,071452993;DUMAS William;Assemblée nationale;30;SRC;http://2007.nosdeputes.fr/DUMAS%20William/xml
AIGREMONT;89;l'aménagement de la mairie, l'implantation d'un atelier communal et la création d'un parking au cimetière;41969,32;17552;0,4182102545;ROLLAND Jean-Marie;Assemblée nationale;89;UMP;http://2007.nosdeputes.fr/ROLLAND%20Jean-Marie/xml
AIGREMONT;89;l'aménagement de la place du Puits Bayard, du terrain de football et d'un accès handicapés à l'église;86281,96;22470;0,2604252384;ROLLAND Jean-Marie;Assemblée nationale;89;UMP;http://2007.nosdeputes.fr/ROLLAND%20Jean-Marie/xml
AIGREMONT;89;la restauration de l'église Notre-Dame-de-la-Nativité (2ème tranche);120000;15000;0,125;0;Réserve ministérielle;;;
AILLANT-SUR-MILLERON;45;la réhabilitation du lavoir communal;38791,64;5000;0,1288937513;SUEUR Jean-Pierre;Sénat;45;SOC;http://nossenateurs.fr/SUEUR%20Jean-Pierre/xml
AILLEVILLERS-ET-LYAUMONT;70;l'acquisition de l'ancienne usine Magisac, l'aménagement des locaux et l'installation d'une chaufferie bois avec silo (1ère tranche);957542;40000;0,0417736246;0;Réserve ministérielle;;;
AILLIANVILLE;52;la réfection et l'extension de la salle polyvalente;38481,5;5000;0,129932565;CORNUT-GENTILLE François;Assemblée nationale;52;UMP;http://2007.nosdeputes.fr/CORNUT-GENTILLE%20François/xml
AILLIERES-BEAUVOIR;72;l'aménagement de la traversée du bourg;265000;30000;0,1132075472;0;Réserve ministérielle;;;
AILLIERES-BEAUVOIR;72;travaux d'amélioration énergétique;30218,38;10000;0,3309244241;0;Réserve ministérielle;;;
AIMARGUES;30;l'acquisition d'une sculpture représentant Fanfonne Guillierme et ses bious d'or;16000;7000;0,4375;PEYRONNET Jean-Claude;Sénat;87;SOC;http://nossenateurs.fr/PEYRONNET%20Jean-Claude/xml
AINAY-LE-CHATEAU;3;la restauration des remparts (tranches 2010 et 2011);930000;60000;0,064516129;0;Réserve ministérielle;;;
AINCOURT;95;la réfection de la route de Brunel;24400;7500;0,3073770492;ANGELS Bernard;Sénat;95;SOCV;http://nossenateurs.fr/ANGELS%20Bernard/xml
AINGERAY;54;"l'aménagement de la ""Côte du Four""";129650;3000;0,023139221;PANIS Jacqueline;Sénat;54;UMP;http://nossenateurs.fr/PANIS%20Jacqueline/xml
AINGEVILLE;88;la réfection des toitures du lavoir, de la mairie et du bûcher;35736,78;3000;0,0839471267;PIERRE Jackie;Sénat;88;UMP;http://nossenateurs.fr/PIERRE%20Jackie/xml
AIRAINES;80;la réfection d'un muret et de piliers situés à l'entrée de l'église;11126;5563;0,5;BIGNON Jérôme;Assemblée nationale;80;UMP;http://2007.nosdeputes.fr/BIGNON%20Jérôme/xml
AIRAN;14;travaux d'assainissement pluvial (RD 43);10380;1038;0,1;COUSIN Jean-Yves;Assemblée nationale;14;UMP;http://2007.nosdeputes.fr/COUSIN%20Jean-Yves/xml
AIREL;50;l'isolation extérieure de l'école;12975,08;5000;0,3853540787;GOSSELIN Philippe;Assemblée nationale;50;UMP;http://2007.nosdeputes.fr/GOSSELIN%20Philippe/xml
