1. Selon vous, quels sont les principaux enjeux du logement dans la MEL ? (3 réponses maximum);2. Selon vous, quels sont les principaux freins pour trouver un logement à louer dans la MEL ? (2 réponses maximum);3. Selon vous, quels sont les principaux freins pour acheter un logement dans la MEL ? (2 réponses maximum);4. Selon vous, quels sont les principaux freins pour réaliser des travaux de rénovation ? (2 réponses maximum);5. Selon vous, pourquoi souhaite-t-on habiter dans la MEL ?;6. Identifiez-vous la MEL comme un acteur du logement ?;7. Connaissez-vous la Maison de l'Habitat durable ?;8. Avez-vous déjà visité la Maison de l'Habitat durable ?;9. Connaissez-vous les aides de l'Agence Nationale de l'Habitat (Anah) et de la MEL pour la rénovation des logements privés ?;10. Si oui, par quel biais avez-vous été informé de l'existence de ces aides ?;11. Les avez-vous mobilisées dans le cadre d'un projet de rénovation ?;12. Auprès de qui vous adresseriez-vous pour faire une demande de logement social dans la métropole ?;13. Avez-vous déjà fait une demande de logement social sur le territoire métropolitain ?;14. Qu'attendriez-vous de la MEL pour vous aider à trouver un logement ? (2 réponses maximum);15. Qu'attendriez-vous de la MEL pour faciliter l'accession à la propriété ?;16. Qu'attendriez-vous de la MEL pour vous aider dans vos travaux de rénovation ? (3 réponses maximum);17. Quel est votre âge ?;18. Quelle est votre situation professionnelle ?;19. Dans quelle commune, habitez-vous ?;20. Dans quel type de logement habitez-vous actuellement ?;21. Quelle est votre situation au regard de ce logement ?;22. Qui vit avec vous dans votre logement ?
améliorer la mixité sociale,rénover l'habitat dégradé,faciliter l'accès des jeunes au logement;des montants de loyers trop élevés dans les quartiers souhaités,des garanties financières trop sélectives;des prix trop élevés dans les quartiers souhaités,des biens vétustes nécessitant trop de travaux;des difficultés de financement,trouver une entreprise qualifiée;"pour se rapprocher de son travail
pour avoir accès à de nombreux services et activités d'une métropole (loisirs, cultures, offres de commerces importantes....)";Oui;Oui;Non;Oui;bouche à oreille;Non;un bailleur social;Non;un accompagnement pour les groupes d'habitants ayant un projet logement en commun (habitat participatif);une meilleure information sur les projets d'accession à prix abordable;un service de mise en relation avec les entreprises qualifiées,un recueil numérique de bonnes pratiques,témoignages d'habitants,un service d'aide pour trouver des prêts travaux adaptés (courtage bancaire);35-49 ans;emploi salarié;Lille;individuel;propriétaire occupant;je vis en couple avec enfant(s)
construire plus de logements,rénover l'habitat dégradé,améliorer l'habitat existant sur le plan énergétique;des montants de loyers trop élevés dans les quartiers souhaités,des garanties financières trop sélectives;des biens vétustes nécessitant trop de travaux;trouver de l'aide,un conseil adapté,la crainte que les travaux se passent mal;"Les atouts d'une grande métropole européenne accessible mais avec des secteurs ""ruraux"" calmes et attrayant.";Oui;Oui;Non;Non;ne se prononce pas;Non;un bailleur social;Non;un meilleur conseil pour obtenir un logement social,un accompagnement pour les groupes d'habitants ayant un projet logement en commun (habitat participatif);une meilleure information sur les projets d'accession à prix abordable;un service de mise en relation avec les entreprises qualifiées,un accompagnement pas à pas pour votre projet (administratif,technique,financier,etc.),un préfinancement des travaux;18-24 ans;emploi non salarié;lille;collectif;locataire d'un logement privé;je vis en couple sans enfant
construire plus de logements,rénover l'habitat dégradé,améliorer l'attribution des logements sociaux;des montants de loyers trop élevés dans les quartiers souhaités,peu de biens adaptés à mes besoins (nombre de pièces,accessibilité du logement au handicap,etc.);des prix trop élevés dans les quartiers souhaités,peu de biens adaptés à mes besoins (nombre de pièces,accessibilité du logement au handicap,etc.);trouver une entreprise qualifiée,un dispositif d'aides trop complexe;.;Non;Oui;Oui;Oui;journaux locaux (ville, MEL);Non;un bailleur social,votre mairie;Oui;un recensement des logements sociaux accessibles pour les personnes âgées ou en situation de handicap,un accompagnement pour les groupes d'habitants ayant un projet logement en commun (habitat participatif);une meilleure information sur les projets d'accession à prix abordable;un service de mise en relation avec les entreprises qualifiées,autre;35-49 ans;emploi salarié;59110 La Madeleine;collectif;propriétaire occupant;je vis seul sans enfant
améliorer la mixité sociale,rénover l'habitat dégradé,améliorer l'habitat existant sur le plan énergétique,faciliter l'accès des jeunes au logement,autre;des logements de trop faible qualité;des prix trop élevés dans les quartiers souhaités,peu de biens adaptés à mes besoins (nombre de pièces,accessibilité du logement au handicap,etc.);trouver une entreprise qualifiée,la crainte que les travaux se passent mal;"La MEL offre un nombre très important de facilité: 
- accès commerce, 
- transport en commun, 
- accès soin,
- Soutien à l'éducation
- Réseau associatif
- Abondance culturelle
- Université et grande école reconnu nationalement";Oui;Oui;Oui;Non;;Non;votre mairie;Non;un lieu d'information pour vous aider dans vos démarches (aides,financement,etc.),autre;autre;des ateliers de formation pour acquérir des savoirs faire de base pour les travaux,un accompagnement pas à pas pour votre projet (administratif,technique,financier,etc.),autre;35-49 ans;sans emploi;Lille quartier Fives;individuel;propriétaire occupant;je vis en couple avec enfant(s)
mieux réguler les prix et loyers du marché,améliorer l'habitat existant sur le plan énergétique,adapter les logements au vieillissement;des montants de loyers trop élevés dans les quartiers souhaités,peu de biens adaptés à mes besoins (nombre de pièces,accessibilité du logement au handicap,etc.);des prix trop élevés dans les quartiers souhaités,des biens vétustes nécessitant trop de travaux;des difficultés de financement,la crainte que les travaux se passent mal;attractivité de la ML : universités, culture, transports.........emploi;Oui;Oui;Oui;Oui;autre;Non;votre mairie;Non;un lieu d'information pour vous aider dans vos démarches (aides,financement,etc.);un accompagnement pour étudier les financements possibles;un service de mise en relation avec les entreprises qualifiées,des tutoriels vidéos pour les travaux,un préfinancement des travaux;plus de 65 ans;retraité;roncq;individuel;propriétaire occupant;je vis seul sans enfant
améliorer l'habitat existant sur le plan énergétique,mieux organiser l'accueil des étudiants dans la MEL,améliorer l'attribution des logements sociaux;des montants de loyers trop élevés dans les quartiers souhaités,peu de biens adaptés à mes besoins (nombre de pièces,accessibilité du logement au handicap,etc.);des prix trop élevés dans les quartiers souhaités,des difficultés pour obtenir un prêt;des difficultés de financement;Transport en commun attractif;Oui;Non;Non;Non;ne se prononce pas;Non;un bailleur social;Oui;un recensement des logements sociaux accessibles pour les personnes âgées ou en situation de handicap;un accompagnement pour étudier les financements possibles;un service de mise en relation avec les entreprises qualifiées,un service d'aide pour trouver des prêts travaux adaptés (courtage bancaire),un préfinancement des travaux;25-35 ans;sans emploi;Mons en baroeul;collectif;locataire d'un logement social;je vis seul avec enfant(s)
construire plus de logements,améliorer l'habitat existant sur le plan énergétique,adapter les logements au vieillissement;des montants de loyers trop élevés dans les quartiers souhaités,des garanties financières trop sélectives;des prix trop élevés dans les quartiers souhaités,des difficultés pour obtenir un prêt;des difficultés de financement,trouver une entreprise qualifiée;Offre de services plus importante qu'en zone rurale;Non;Oui;Oui;Non;;Non;votre mairie;Non;un lieu d'information pour vous aider dans vos démarches (aides,financement,etc.),un recensement des logements sociaux accessibles pour les personnes âgées ou en situation de handicap;une meilleure information sur les projets d'accession à prix abordable;un service de mise en relation avec les entreprises qualifiées,un accompagnement pas à pas pour votre projet (administratif,technique,financier,etc.),un service d'aide pour trouver des prêts travaux adaptés (courtage bancaire);50-64 ans;retraité;Quesnoy sur Deule;individuel;propriétaire occupant;je vis en couple sans enfant
améliorer la mixité sociale,rénover l'habitat dégradé,résorber les bidonvilles;des montants de loyers trop élevés dans les quartiers souhaités,des garanties financières trop sélectives;des prix trop élevés dans les quartiers souhaités,des difficultés pour obtenir un prêt;des difficultés de financement,la crainte que les travaux se passent mal;Ville attractive, acceuillante, beaucoup d'offres d'emploi;Oui;Oui;Non;Non;;Non;votre mairie;Non;un lieu d'information pour vous aider dans vos démarches (aides,financement,etc.),un recensement des logements sociaux accessibles pour les personnes âgées ou en situation de handicap;une meilleure information sur les projets d'accession à prix abordable;un service de mise en relation avec les entreprises qualifiées,un forum d'échanges entre habitants,un accompagnement pas à pas pour votre projet (administratif,technique,financier,etc.);50-64 ans;emploi salarié;5926;individuel;propriétaire occupant;je vis en couple sans enfant
améliorer la mixité sociale,mieux réguler les prix et loyers du marché,améliorer l'habitat existant sur le plan énergétique;des montants de loyers trop élevés dans les quartiers souhaités;des prix trop élevés dans les quartiers souhaités;des difficultés de financement;Métropole attractive, animée . beaucoup de services : commerces, transports, travail ...;Oui;;Oui;Oui;prospectus;Non;un bailleur social;Non;un lieu d'information pour vous aider dans vos démarches (aides,financement,etc.);un accompagnement pour étudier les financements possibles;un forum d'échanges entre habitants,un recueil numérique de bonnes pratiques,témoignages d'habitants,un préfinancement des travaux;plus de 65 ans;retraité;Lille;individuel;propriétaire occupant;je vis en couple sans enfant
construire plus de logements;des montants de loyers trop élevés dans les quartiers souhaités,des garanties financières trop sélectives;des prix trop élevés dans les quartiers souhaités;des difficultés de financement,la crainte que les travaux se passent mal;;Non;Oui;Oui;Oui;autre;Non;;Non;un accompagnement pour les groupes d'habitants ayant un projet logement en commun (habitat participatif);;un accompagnement pas à pas pour votre projet (administratif,technique,financier,etc.);50-64 ans;emploi salarié;lille;individuel;propriétaire occupant;je vis en couple sans enfant
