Geo Point;Geo Shape;crossing;@id;highway
50.6574025, 3.0454349;"{""type"": ""Point"", ""coordinates"": [3.0454349, 50.6574025]}";;node/240894443;crossing
50.7027398, 3.0930032;"{""type"": ""Point"", ""coordinates"": [3.0930032, 50.7027398]}";;node/251996979;crossing
50.5848339, 3.1037737;"{""type"": ""Point"", ""coordinates"": [3.1037737, 50.5848339]}";zebra;node/252407231;crossing
50.5826619, 3.0882949;"{""type"": ""Point"", ""coordinates"": [3.0882949, 50.5826619]}";;node/252407255;crossing
50.7024905, 3.0724347;"{""type"": ""Point"", ""coordinates"": [3.0724347, 50.7024905]}";;node/290782275;crossing
50.6356318, 3.0286661;"{""type"": ""Point"", ""coordinates"": [3.0286661, 50.6356318]}";zebra;node/294121829;crossing
50.6397776, 3.1546156;"{""type"": ""Point"", ""coordinates"": [3.1546156, 50.6397776]}";;node/297974439;crossing
50.6675389, 3.0430374;"{""type"": ""Point"", ""coordinates"": [3.0430374, 50.6675389]}";;node/306355887;crossing
50.6666276, 3.0434067;"{""type"": ""Point"", ""coordinates"": [3.0434067, 50.6666276]}";;node/306356175;crossing
50.7865649, 3.1271008;"{""type"": ""Point"", ""coordinates"": [3.1271008, 50.7865649]}";zebra;node/310344151;crossing
50.7828662, 3.0423175;"{""type"": ""Point"", ""coordinates"": [3.0423175, 50.7828662]}";;node/312693993;crossing
50.65729, 3.0089727;"{""type"": ""Point"", ""coordinates"": [3.0089727, 50.65729]}";;node/320990721;crossing
50.5840876, 2.8925527;"{""type"": ""Point"", ""coordinates"": [2.8925527, 50.5840876]}";;node/321652875;crossing
50.6787449, 3.1971748;"{""type"": ""Point"", ""coordinates"": [3.1971748, 50.6787449]}";;node/333228967;crossing
50.7917877, 3.0022729;"{""type"": ""Point"", ""coordinates"": [3.0022729, 50.7917877]}";;node/338865325;crossing
50.6488602, 3.0200485;"{""type"": ""Point"", ""coordinates"": [3.0200485, 50.6488602]}";zebra;node/344842076;crossing
50.6447733, 3.1480796;"{""type"": ""Point"", ""coordinates"": [3.1480796, 50.6447733]}";;node/355580742;crossing
50.6371304, 3.0614492;"{""type"": ""Point"", ""coordinates"": [3.0614492, 50.6371304]}";uncontrolled;node/362384893;crossing
50.6250811, 3.1528144;"{""type"": ""Point"", ""coordinates"": [3.1528144, 50.6250811]}";;node/368027266;crossing
50.6395903, 3.1491123;"{""type"": ""Point"", ""coordinates"": [3.1491123, 50.6395903]}";;node/369048925;crossing
50.6281023, 3.1335328;"{""type"": ""Point"", ""coordinates"": [3.1335328, 50.6281023]}";;node/369049848;crossing
50.5842443, 2.8878487;"{""type"": ""Point"", ""coordinates"": [2.8878487, 50.5842443]}";;node/386135533;crossing
50.626546, 3.1067796;"{""type"": ""Point"", ""coordinates"": [3.1067796, 50.626546]}";;node/387293053;crossing
50.6388932, 3.0172462;"{""type"": ""Point"", ""coordinates"": [3.0172462, 50.6388932]}";zebra;node/389426935;crossing
50.5828853, 3.0881146;"{""type"": ""Point"", ""coordinates"": [3.0881146, 50.5828853]}";;node/394836084;crossing
50.5783606, 3.1883771;"{""type"": ""Point"", ""coordinates"": [3.1883771, 50.5783606]}";uncontrolled;node/404396214;crossing
50.5785104, 3.1875756;"{""type"": ""Point"", ""coordinates"": [3.1875756, 50.5785104]}";uncontrolled;node/405092458;crossing
50.5786241, 3.1874504;"{""type"": ""Point"", ""coordinates"": [3.1874504, 50.5786241]}";uncontrolled;node/405092464;crossing
50.6352283, 3.1141789;"{""type"": ""Point"", ""coordinates"": [3.1141789, 50.6352283]}";;node/413929884;crossing
50.6005789, 3.148991;"{""type"": ""Point"", ""coordinates"": [3.148991, 50.6005789]}";;node/416644135;crossing
50.6004167, 3.1490492;"{""type"": ""Point"", ""coordinates"": [3.1490492, 50.6004167]}";;node/416644138;crossing
50.6008654, 3.1500633;"{""type"": ""Point"", ""coordinates"": [3.1500633, 50.6008654]}";;node/416644181;crossing
50.6275131, 3.05668;"{""type"": ""Point"", ""coordinates"": [3.05668, 50.6275131]}";zebra;node/469309922;crossing
50.6318171, 3.032327;"{""type"": ""Point"", ""coordinates"": [3.032327, 50.6318171]}";;node/472379192;crossing
50.6173493, 3.1334813;"{""type"": ""Point"", ""coordinates"": [3.1334813, 50.6173493]}";;node/477552554;crossing
50.6540512, 3.0709342;"{""type"": ""Point"", ""coordinates"": [3.0709342, 50.6540512]}";;node/486603892;crossing
50.6007251, 3.1475415;"{""type"": ""Point"", ""coordinates"": [3.1475415, 50.6007251]}";;node/490312734;crossing
50.6187438, 3.0765172;"{""type"": ""Point"", ""coordinates"": [3.0765172, 50.6187438]}";;node/491355161;crossing
50.6353566, 3.1883398;"{""type"": ""Point"", ""coordinates"": [3.1883398, 50.6353566]}";;node/493970579;crossing
50.6191629, 3.0440764;"{""type"": ""Point"", ""coordinates"": [3.0440764, 50.6191629]}";zebra;node/494053216;crossing
50.6221488, 3.0451048;"{""type"": ""Point"", ""coordinates"": [3.0451048, 50.6221488]}";zebra;node/494053284;crossing
50.6790595, 3.1789149;"{""type"": ""Point"", ""coordinates"": [3.1789149, 50.6790595]}";;node/506760822;crossing
50.6349946, 2.9382957;"{""type"": ""Point"", ""coordinates"": [2.9382957, 50.6349946]}";;node/506855778;crossing
50.6169777, 3.1097785;"{""type"": ""Point"", ""coordinates"": [3.1097785, 50.6169777]}";;node/508306864;crossing
50.7573014, 3.222157;"{""type"": ""Point"", ""coordinates"": [3.222157, 50.7573014]}";;node/519823637;crossing
50.6866276, 2.8943863;"{""type"": ""Point"", ""coordinates"": [2.8943863, 50.6866276]}";;node/520584111;crossing
50.747268, 3.2334878;"{""type"": ""Point"", ""coordinates"": [3.2334878, 50.747268]}";;node/525403862;crossing
50.6363257, 3.0608967;"{""type"": ""Point"", ""coordinates"": [3.0608967, 50.6363257]}";uncontrolled;node/529679465;crossing
50.7492449, 3.2224114;"{""type"": ""Point"", ""coordinates"": [3.2224114, 50.7492449]}";;node/529854824;crossing
50.5845972, 3.1029168;"{""type"": ""Point"", ""coordinates"": [3.1029168, 50.5845972]}";zebra;node/532712473;crossing
50.5876452, 3.1028954;"{""type"": ""Point"", ""coordinates"": [3.1028954, 50.5876452]}";;node/532712634;crossing
50.6102978, 3.0649667;"{""type"": ""Point"", ""coordinates"": [3.0649667, 50.6102978]}";;node/533976675;crossing
50.6088061, 3.0433776;"{""type"": ""Point"", ""coordinates"": [3.0433776, 50.6088061]}";;node/534354455;crossing
50.7890525, 3.1285959;"{""type"": ""Point"", ""coordinates"": [3.1285959, 50.7890525]}";zebra;node/582543866;crossing
50.5754383, 3.0786179;"{""type"": ""Point"", ""coordinates"": [3.0786179, 50.5754383]}";;node/649309442;crossing
50.7101035, 3.2323226;"{""type"": ""Point"", ""coordinates"": [3.2323226, 50.7101035]}";;node/653146174;crossing
50.6726103, 3.0938948;"{""type"": ""Point"", ""coordinates"": [3.0938948, 50.6726103]}";;node/660657380;crossing
50.750424, 3.1881007;"{""type"": ""Point"", ""coordinates"": [3.1881007, 50.750424]}";;node/662518082;crossing
50.6529518, 2.9809635;"{""type"": ""Point"", ""coordinates"": [2.9809635, 50.6529518]}";uncontrolled;node/663249050;crossing
50.6732947, 3.086719;"{""type"": ""Point"", ""coordinates"": [3.086719, 50.6732947]}";zebra;node/664609097;crossing
50.6736024, 3.0879448;"{""type"": ""Point"", ""coordinates"": [3.0879448, 50.6736024]}";zebra;node/664609117;crossing
50.7621493, 3.0115473;"{""type"": ""Point"", ""coordinates"": [3.0115473, 50.7621493]}";zebra;node/664836710;crossing
50.6083553, 2.9837567;"{""type"": ""Point"", ""coordinates"": [2.9837567, 50.6083553]}";;node/667129881;crossing
50.5488867, 2.9197557;"{""type"": ""Point"", ""coordinates"": [2.9197557, 50.5488867]}";;node/685959327;crossing
