Dimensions communes,Nb d’éléments communs,Nb d’éléments total,% commun
physique  ,1,1,"100,00"
acteur  ,0,2,"0,00"
physique ET acteur  (p+a),0,3,"0,00"
concept  ,3,6,"50,00"
physique ET concept  (p+c),4,7,"57,14"
acteur ET concept  (a+c),0,8,"0,00"
physique ET acteur ET concept (p+a+c),0,9,"0,00"
rapport  ,0,10,"0,00"
physique ET rapport  (p+r),1,11,"9,09"
acteur ET rapport  (a+r),0,12,"0,00"
physique ET acteur ET rapport (p+a+r),0,13,"0,00"
concept ET rapport  (c+r),1,16,"6,25"
physique ET concept ET rapport (p+c+r),1,17,"5,88"
acteur ET concept ET rapport (a+c+r),0,18,"0,00"
physique ET acteur ET concept ET rapport (p+a+c+r),0,19,"0,00"
TOTAL,11,152,"100,00"
