id,niveau,parcours,Semestre,Intitulés des UE ,UE nom court,Coeff,ECTS,Intitulés des EC de chaque UE ,EC nom court,Statut,Coeff,ECTS,%CM,%TD,%TP,VH EC,Seuil,EC Libre,Mutualisation Hors EC Libre,Commentaires,Nbs de groupes ,Coût HTD,VH CM,VH TD,VH TP,Mutualisation destination,Mutualisation source,Coût HTD formation
0,M1,commun,1,Théorie du numérique,Théorie du numérique,1,7,Approches transversales des médias numériques (socle commun),Approches transversales,O,3,3,"0,7","0,3",,30,150,Non Ouvert,Non,,1,"40,5",21,9,0,,,0
1,M1,commun,1,Théorie du numérique,Théorie du numérique,1,,Economie et droit du numérique (socle commun),Economie et droit,O,4,4,"0,7","0,3",,30,150,Non Ouvert,Non,,1,"40,5",21,9,0,,,0
2,M1,commun,1,Pratiques numériques,Pratiques numériques,1,8,Langages web (socle commun),Langages web,O,4,4,"0,5","0,5",,30,30,Non Ouvert,Non,,5,"187,5",15,15,0,,,0
3,M1,commun,1,Pratiques numériques,Pratiques numériques,1,,Bases de données relationnelles (socle commun),Bases de données,O,4,4,"0,5","0,5",,30,30,Non Ouvert,Non,,5,"187,5",15,15,0,,,0
4,M1,CEN,1,Ateliers Média,Ateliers Média,1,6,Atelier image  illustrator - photoshop,Atelier image,X,3,3,,1,,30,30,Non Ouvert,"Offert, sur P8",Offert à NET,1,30,0,30,0,M1-NET,,0
5,M1,CEN,1,Ateliers Média,Ateliers Média,1,,Atelier 3D : modélisation,Atelier 3D,X,3,3,,1,,30,30,Non Ouvert,"Offert, sur P9",Offert à NET,1,30,0,30,0,M1-NET,,0
6,M1,CEN,1,Ateliers Média,Ateliers Média,1,,EC Libre,EC Libre,X,3,3,,,,30,30,Non Ouvert,"Offert, sur P8",Offert à NET,1,0,0,0,0,M1-NET,,0
7,M1,CEN,1,Ateliers Média,Ateliers Média,1,,Atelier son ,Atelier son ,X,3,3,,1,,30,30,Non Ouvert,"Offert, sur P8",Offert à NET,1,30,0,30,0,M1-NET,,0
8,M1,CEN,1,Ateliers Média,Ateliers Média,1,,Atelier vidéo  enrichie et compositing,Atelier Vidéo,X,3,3,,1,,30,30,Non Ouvert,"Offert, sur P8",Offert à NET,1,30,0,30,0,M1-NET,,0
9,M1,CEN,1,Production Numérique,Production Numérique,1,9,Interaction 3D,Interaction 3D,X,3,3,"0,7","0,3",,30,30,Non Ouvert,"Offert, sur P8",Offert à NET,1,"40,5",21,9,0,M1-NET,,0
10,M1,CEN,1,Production Numérique,Production Numérique,1,,Editorialisation et strategie de contenu,Editorialisation,X,3,3,"0,7","0,3",,30,30,Non Ouvert,"Offert, sur P8",Offert à NET,1,"40,5",21,9,0,M1-NET,,0
11,M1,CEN,1,Production Numérique,Production Numérique,1,,intégration : HTML / CSS ,HTML / CSS,X,3,3,"0,7","0,3",,30,30,Non Ouvert,"Offert, sur P8",Offert à NET,1,"40,5",21,9,0,M1-NET,,0
12,M1,CEN,1,Production Numérique,Production Numérique,1,,Graphisme et ergonomie d'interfaces,Graphisme et ergonomie,X,3,3,"0,7","0,3",,30,30,Non Ouvert,"Offert, sur P8",Offert à NET,1,"40,5",21,9,0,M1-NET,,0
13,M1,CEN,2,Langages et Méthodes,Langages et Méthodes,1,3,Interactions gestuelles ,Interactions gestuelles ,X,3,3,"0,7","0,3",,30,30,Non Ouvert,"Offert, sur P8",Offert à NET,1,"40,5",21,9,0,M1-NET,,0
