VM,nom,IP_DMZ,IP_public,FQDN
204,paragraphe,192.168.30.224,193.54.152.43,laboratoire-paragraphe.univ-paris8.fr
211,isaleh,192.168.30.216,193.54.152.37,isaleh.univ-paris8.fr
218,hom,192.168.30.235,193.54.152.44,www.hom.univ-paris8.fr
221,iot,192.168.30.206,193.54.152.50,iot.univ-paris8.fr
224,artnum,192.168.30.204,193.54.152.48,artnum.univ-paris8.fr
225,BOT,192.168.30.205,193.54.152.49,bot.univ-paris8.fr
226,Doctorants-paragraphe,192.168.30.207,193.54.152.51,doctorants-paragraphe.univ-paris8.fr
201,jdc,192.168.30.232,193.54.152.41,jardindesconnaissances.univ-paris8.fr
215,machinealire,192.168.30.225,193.54.152.39,machinealire.univ-paris8.fr
216,lireensemble,192.168.30.233,193.54.152.40,lire-ensemble.univ-paris8.fr
219,pepe,192.168.30.201,193.54.152.45,pepe.univ-paris8.fr
203,digitaluses-congress,192.168.30.219,193.54.152.31,digitaluses-congress.univ-paris8.fr
205,ADACEMU,192.168.30.214,193.54.152.33,adacemu.univ-paris8.fr
208,polemika,192.168.30.230,193.54.152.34,polemika.univ-paris8.fr
223,AVUN,192.168.30.203,193.54.152.47,avun.univ-paris8.fr
227,arcanes,192.168.30.208,193.54.152.52,arcanes.univ-paris8.fr
229,Conferences-paragraphe,192.168.30.209,193.54.152.53,conferences-paragraphe.univ-paris8.fr
209,ontostats,192.168.30.222,193.54.152.38,ontostats.univ-paris8.fr
210,samszo,192.168.30.223,193.54.152.36,samszo.univ-paris8.fr
