id,ns,code,type,desc,TextPositionSelector,uri,ieml
1,oa,oa,Namespace,The Open Annotation ontology,0,http://www.w3.org/ns/oa#,
2,cnt,cnt,Namespace,Representing Content in RDF,0,http://www.w3.org/2011/content#,
3,dc,dc,Namespace,Dublin Core Elements,0,http://purl.org/dc/elements/1.1/,
4,dcterms,dcterms,Namespace,Dublin Core Terms,0,http://purl.org/dc/terms/,
5,dctypes,dctypes,Namespace,Dublin Core Type Vocabulary,0,http://purl.org/dc/dcmitype/,
6,foaf,foaf,Namespace,Friend-of-a-Friend Vocabulary,0,http://xmlns.com/foaf/0.1/,
7,prov,prov,Namespace,Provenance Ontology,0,http://www.w3.org/ns/prov#,
8,rdf,rdf,Namespace,RDF,0,http://www.w3.org/1999/02/22-rdf-syntax-ns#,
9,rdfs,rdfs,Namespace,RDF Schema,0,http://www.w3.org/2000/01/rdf-schema#,
10,skos,skos,Namespace,Simple Knowledge Organization System,0,http://www.w3.org/2004/02/skos/core#,
11,trig,trig,Namespace,TriG Named Graphs,0,http://www.w3.org/2004/03/trix/rdfg-1/,
12,oa,Annotation,Class,"The class for Annotations 
The oa:Annotation class MUST be associated with an Annotation.",ns,,
13,oa,hasBody,Relationship,"The relationship between an Annotation and the Body of the Annotation 
There SHOULD be 1 or more oa:hasBody relationships associated with an Annotation but there MAY be 0.",12,,
14,oa,hasTarget,Relationship,"The relationship between an Annotation and the Target of the Annotation 
There MUST be 1 or more oa:hasTarget relationships associated with an Annotation.",12,,
15,dctypes,Dataset,Class,The class for a resource which encodes data in a defined structure,ns,,
16,dctypes,Image,Class,"The class for image resources, primarily intended to be seen",ns,,
17,dctypes,MovingImage,Class,"The class for video resources, with or without audio",ns,,
18,dctypes,Sound,Class,The class for a resource primarily intended to be heard,ns,,
19,dctypes,Text,Class,The class for a resource primarily intended to be read,ns,,
20,cnt,ContentAsText,Class,"A class assigned to the Body for embedding textual resources within the Annotation.
This class SHOULD be assigned to the Body, however it can be inferred from the presence of the mandatory cnt:chars property.",ns,,
21,cnt,chars,Property,"The character sequence of the content.
There MUST be exactly 1 cnt:chars property associated with the ContentAsText resource.",ns,,
22,dc,format,Property,"The media type of the content. 
There SHOULD be exactly 1 dc:format property associated with the resource.",ns,,
23,dc,language,Property,"The language of the content, if known.
There MAY be 0 or more dc:language properties. Each language SHOULD be expressed as a language tag, as defined by RFC 3066.",ns,,
24,oa,Tag,Class,"A class assigned to the Body when it is a tag, such as a embedded text string",ns,,
25,oa,SemanticTag,Class,"[subClass of oa:Tag] A class assigned to the Body when it is a semantic tagging resource; a URI that identifies a concept, rather than an embedded string, frequently a term from a controlled vocabulary",24,,
26,foaf,page,Relationship,The foaf:page relationship expresses the link between a Semantic Tag and the document that describes or somehow embodies the tagging concept.,25,,
27,oa,annotatedBy,Relationship,"[subProperty of prov:wasAttributedTo] The object of the relationship is a resource that identifies the agent responsible for creating the Annotation. This may be either a human or software agent. 
There SHOULD be exactly 1 oa:annotatedBy relationship per Annotation, but MAY be 0 or more than 1, as the Annotation may be anonymous, or multiple agents may have worked together on it.",12,,
28,oa,annotatedAt,Property,"The time at which the Annotation was created. 
There SHOULD be exactly 1 oa:annotatedAt property per Annotation, and MUST NOT be more than 1. The datetime MUST be expressed in the xsd:dateTime format, and SHOULD have a timezone specified.",12,,
29,oa,serializedBy,Relationship,"[subProperty of prov:wasAttributedTo] The object of the relationship is the agent, likely software, responsible for generating the Annotation's serialization. 
There MAY be 0 or more oa:serializedBy relationships per Annotation.",12,,
30,oa,serializedAt,Property,"The time at which the agent referenced by oa:serializedBy generated the first serialization of the Annotation, and any subsequent substantially different one. The annotation graph MUST have changed for this property to be updated, and as such represents the last modified datestamp for the Annotation. This might be used to determine if it should be re-imported into a triplestore when discovered. 
There MAY be exactly 1 oa:serializedAt property per Annotation, and MUST NOT be more than 1. The datetime MUST be expressed in the xsd:dateTime format, and SHOULD have a timezone specified.",12,,
31,foaf,Person,Class,"The class for a human agent, typically used as the class of the object of the oa:annotatedBy relationship",ns,,
32,prov,SoftwareAgent,Class,"The class for a software agent, typically used as the class of the object of the oa:serializedBy relationship. It might also be used for the object of the oa:annotatedBy for machine generated annotations.",ns,,
33,foaf,Organization,Class,"The class for an organization, as opposed to an individual. This might be used as the class of the object of the oa:annotatedBy relationship, for example.",ns,,
34,foaf,name,Property,"The name of the agent. 
Each agent SHOULD have exactly 1 name property.",ns,,
35,foaf,mbox,Relationship,"The email address associated with the agent, using the mailto: URI scheme. 
Each agent MAY have 1 or more mailboxes",ns,,
36,foaf,openid,Relationship,"The openId URI associated with the agent. 
Each agent MAY have 1 or more openIds.",ns,,
37,foaf,homepage,Relationship,"The home page for the agent.
Each agent MAY have 1 or more home pages.",ns,,
38,oa,Motivation,Class,"[subClass of skos:Concept] The Motivation for an Annotation is a reason for its creation, and might include things like Replying to another annotation, Commenting on a resource, or Linking to a related resource.",12,,
39,oa,motivatedBy,Relationship,"The relationship between an Annotation and a Motivation. 
There SHOULD be at least 1 Motivation for each Annotation, and MAY be more than 1.",12-38,,
40,oa,bookmarking,Instance,"The motivation that represents the creation of a bookmark to the target resources or recorded point or points within one or more resources. For example, an Annotation that bookmarks the point in a text where the reader finished reading. Bookmark Annotations may or may not have a Body resource.",39,,
41,oa,classifying,Instance,"The motivation that represents the assignment of a classification type, typically from a controlled vocabulary, to the target resource(s). For example to classify an Image resource as a Portrait.",39,,
42,oa,commenting,Instance,The motivation that represents a commentary about or review of the target resource(s). For example to provide a commentary about a particular PDF.,39,,
43,oa,describing,Instance,"The motivation that represents a description of the target resource(s), as opposed to a comment about them. For example describing the above PDF's contents, rather than commenting on their accuracy.",39,,
44,oa,editing,Instance,"The motivation that represents a request for a modification or edit to the target resource. For example, an Annotation that requests a typo to be corrected.",39,,
45,oa,highlighting,Instance,The motivation that represents a highlighted section of the target resource or segment. For example to draw attention to the selected text that the annotator disagrees with. A Highlight may or may not have a Body resource,39,,
