"concept","type","valeur"
"wiktionary.org","page web","Chat échaudé craint l'eau froide"
"wiktionary.org","page web","mieux vaut tard que jamais"
"wiktionary.org","page web","caresse de chien donne des puces"
"wiktionary.org","page web","le poisson pourrit par la tête"
"wiktionary.org","page web","tout nouveau, tout beau"
"wiktionary.org","page web","à maison laide arbre mort"
"wiktionary.org","page web","l'homme descend du singe, il peut aussi y remonter"
"wiktionary.org","page web","qui veut la fin veut les moyens"
"wiktionary.org","page web","il n'y a pas de quoi fouetter un chat"
"wiktionary.org","page web","plus on est de fous, plus on rit"
"wiktionary.org","page web","déshabiller Pierre pour habiller Paul"
"wiktionary.org","page web","quand le diable devint vieux, il se fit ermite"
"wiktionary.org","page web","deux fois bon, c'est une fois bête"
"wiktionary.org","page web","fais ce que je dis, pas ce que je fais"
"wiktionary.org","page web","mieux vaut tenir que courir"
"wiktionary.org","page web","ça ne mange pas de pain"
"wiktionary.org","page web","le soleil luit pour tout le monde"
"wiktionary.org","page web","tout beau, tout neuf"
"wiktionary.org","page web","à malin, malin et demi"
"wiktionary.org","page web","l'homme est un loup pour l'homme"
"wiktionary.org","page web","qui veut la paix, prépare la guerre"
"wiktionary.org","page web","il n'y a pas de sot métier"
"wiktionary.org","page web","point de peur, point de malheur"
"wiktionary.org","page web","quand le vin est tiré, il faut le boire"
"wiktionary.org","page web","trop bon, trop con"
"wiktionary.org","page web","fais du bien à Bertrand, il te le rend en caguant"
"wiktionary.org","page web","mieux vaut tondre l'agneau que le pourceau"
"wiktionary.org","page web","c'est le bouquet"
"wiktionary.org","page web","le temps, c'est de l'argent"
"wiktionary.org","page web","tout ce qui brille n'est pas or"
"wiktionary.org","page web","à méchant ouvrier, point de bon outil"
"wiktionary.org","page web","l'homme propose et Dieu dispose"
"wiktionary.org","page web","qui veut noyer son chien l'accuse de la rage"
"wiktionary.org","page web","il n'y a pire eau que l'eau qui dort"
"wiktionary.org","page web","point n'est besoin d ?espérer pour entreprendre, ni de réussir pour persévérer"
"wiktionary.org","page web","quand les cheveux commencent à blanchir, laisse la femme et prends le vin"
"wiktionary.org","page web","dire et faire font deux"
"wiktionary.org","page web","faites ce que je dis, ne faites pas ce que je fais"
"wiktionary.org","page web","ne mords pas la main qui te nourrit"
"wiktionary.org","page web","c'est l'hôpital qui se moque de la charité"
"wiktionary.org","page web","les absents ont toujours tort"
"wiktionary.org","page web","tout ce qui reluit n'est pas or"
"wiktionary.org","page web","à père avare, fils prodigue"
"wiktionary.org","page web","l'occasion fait le larron"
"wiktionary.org","page web","qui veut tuer son chien l'accuse de la rage"
"wiktionary.org","page web","il n'y a que la vérité qui blesse"
"wiktionary.org","page web","promettre ne ruine pas"
"wiktionary.org","page web","quand on parle du loup, on en voit la queue"
"wiktionary.org","page web","dix francs de larmes ne paient pas dix centimes de dettes"
"wiktionary.org","page web","faute avouée à moitié pardonnée"
"wiktionary.org","page web","ne remets pas à demain ce que tu peux faire aujourd ?hui"
"wiktionary.org","page web","c'est l'hôpital qui se moque de l'infirmerie"
"wiktionary.org","page web","les affaires sont les affaires"
"wiktionary.org","page web","tout est bien qui finit bien"
"wiktionary.org","page web","à père avare, enfant prodigue, à mère avare, galant escroc"
"wiktionary.org","page web","l'œil du maître engraisse le cheval"
"wiktionary.org","page web","qui veut voyager loin ménage sa monture"
"wiktionary.org","page web","il n'y a que le premier pas qui coûte"
"wiktionary.org","page web","proverbe ne peut mentir"
"wiktionary.org","page web","quand vient la gloire, s'en va la mémoire"
"wiktionary.org","page web","donner un œuf pour avoir un bœuf"
"wiktionary.org","page web","faute avouée est à demi pardonnée"
"wiktionary.org","page web","nécessité fait loi"
"wiktionary.org","page web","c'est la poêle qui se fout du chaudron"
"wiktionary.org","page web","les arbres ne montent jamais jusqu'au ciel"
"wiktionary.org","page web","tout est bon dans le cochon"
"wiktionary.org","page web","à tout seigneur tout honneur"
"wiktionary.org","page web","l'oisiveté est la mère de tous les vices"
"wiktionary.org","page web","qui vole un œuf vole un bœuf"
"wiktionary.org","page web","il n'y a qu'un seul péché, c'est l'ignorance"
"wiktionary.org","page web","prudence est mère de sûreté"
"wiktionary.org","page web","qui a bu boira"
"wiktionary.org","page web","donner c'est donner, reprendre c'est voler"
"wiktionary.org","page web","faute de grives, on mange des merles"
"wiktionary.org","page web","ni vu ni connu"
"wiktionary.org","page web","c'est la poêle qui se moque du chaudron"
"wiktionary.org","page web","les avares sont comme les porcs : ils ne rendent service qu'après leur mort"
"wiktionary.org","page web","tout travail mérite salaire"
"wiktionary.org","page web","à vieille mule, frein doré"
"wiktionary.org","page web","la bave du crapaud n'atteint pas la blanche colombe"
"wiktionary.org","page web","qui trop embrasse, mal étreint"
"wiktionary.org","page web","il n'y a rien de nouveau sous le soleil"
"wiktionary.org","page web","pour faire bon ménage, il faut que l'homme soit sourd et la femme aveugle"
"wiktionary.org","page web","qui a fait la faute, la boit"
"wiktionary.org","page web","en avril, ne te découvre pas d ?un fil, en mai, fais ce quœil te plaît"
"wiktionary.org","page web","honni soit qui mal y pense"
"wiktionary.org","page web","nul n'est prophète en son pays"
"wiktionary.org","page web","ce n'est pas à un vieux singe qu'on apprend à faire des grimaces"
"wiktionary.org","page web","les bons comptes font les bons amis"
"wiktionary.org","page web","tout vient à point à qui sait attendre"
"wiktionary.org","page web","abondance de biens ne nuit pas"
"wiktionary.org","page web","la caque sent toujours le hareng"
"wiktionary.org","page web","qui vit par l'épée périra par l'épée"
"wiktionary.org","page web","il vaut mieux arriver en retard qu'arriver en corbillard"
"wiktionary.org","page web","quand le bateau coule, les rats partent les premiers"
"wiktionary.org","page web","qui aime bien, châtie bien"
"wiktionary.org","page web","fais ce que dois, advienne que pourra"
"wiktionary.org","page web","il faut battre le fer quand il est chaud"
"wiktionary.org","page web","nul n'est censé ignorer la loi"
"wiktionary.org","page web","ce que femme veut, Dieu le veut"
"wiktionary.org","page web","les bons maîtres font les bons valets"
"wiktionary.org","page web","toute peine mérite salaire"
"wiktionary.org","page web","aide-toi, le ciel t ?aidera"
"wiktionary.org","page web","la chance sourit à ceux qui ne l'attendent pas"
"wiktionary.org","page web","qui vivra verra"
"wiktionary.org","page web","il vaut mieux tenir que courir"
"wiktionary.org","page web","quand le chat n'est pas là, les souris dansent"
"wiktionary.org","page web","il vaut mieux être saoul que con, ça dure moins longtemps"
"wiktionary.org","page web","qui cherche trouve"
"wiktionary.org","page web","il faut manger pour vivre, et non vivre pour manger"
"wiktionary.org","page web","nul ne peut se prévaloir de sa propre turpitude"
"wiktionary.org","page web","ce qui est pris n'est plus à prendre"
"wiktionary.org","page web","les chiens aboient, la caravane passe"
"wiktionary.org","page web","toute patience a ses limites"
"wiktionary.org","page web","après la fête, on gratte sa tête"
"wiktionary.org","page web","la critique est aisée mais l'art est difficile"
"wiktionary.org","page web","renvoyer à l'abc"
"wiktionary.org","page web","il y a assez à faire de regarder ce qui cuit dans sa marmite sans aller regarder ce qui cuit dans celle du voisin"
"wiktionary.org","page web","qui doit n'a rien à soi"
"wiktionary.org","page web","il faut quarante-sept muscles pour froncer les sourcils et seulement treize pour sourire"
"wiktionary.org","page web","œil pour œil, dent pour dent"
"wiktionary.org","page web","ce qui ne tue pas rend plus fort"
"wiktionary.org","page web","les chiens ne font pas des chats"
"wiktionary.org","page web","toute vérité n'est pas bonne à dire"
"wiktionary.org","page web","après la pluie, le beau temps"
"wiktionary.org","page web","la fin justifie les moyens"
"wiktionary.org","page web","rien ne sert de courir ; il faut partir à point"
"wiktionary.org","page web","jamais deux sans trois"
"wiktionary.org","page web","qui donne aux pauvres prête à Dieu"
"wiktionary.org","page web","il faut que jeunesse se passe"
"wiktionary.org","page web","on n'est pas sorti de l'auberge"
"wiktionary.org","page web","cela ne sert à rien de devenir un jour l'homme le plus riche du cimetière"
"wiktionary.org","page web","les conseilleurs ne sont pas les payeurs"
"wiktionary.org","page web","tomber pour mieux se relever"
"wiktionary.org","page web","après l'effort, le réconfort"
"wiktionary.org","page web","la fortune sourit aux audacieux"
"wiktionary.org","page web","rien ne sert de courir, il faut partir à temps"
"wiktionary.org","page web","rira bien qui rira le dernier"
"wiktionary.org","page web","je ne sais qu'une chose c'est que je ne sais rien"
"wiktionary.org","page web","qui dort dîne"
"wiktionary.org","page web","il faut souffrir ou faire souffrir"
"wiktionary.org","page web","on n'apprend pas à un vieux singe à faire la grimace"
"wiktionary.org","page web","chacun son métier, les vaches seront bien gardées"
"wiktionary.org","page web","les cordonniers sont toujours les plus mal chaussés"
"wiktionary.org","page web","un bon ouvrier n'est jamais trop chèrement payé"
"wiktionary.org","page web","argent fait rage et amour mariage"
"wiktionary.org","page web","la fortune vient en dormant"
"wiktionary.org","page web","Rome ne s'est pas faite en un jour"
"wiktionary.org","page web","jeu de main, jeu de vilain"
"wiktionary.org","page web","qui trop embrasse mal étreint"
"wiktionary.org","page web","il faut viser haut pour ne pas tomber trop bas"
"wiktionary.org","page web","on n'attrape pas des mouches avec du vinaigre"
"wiktionary.org","page web","chacun est l'artisan de sa fortune"
"wiktionary.org","page web","les gouvernements sont d'une incroyable fécondité. On y plante des fonctionnaires, il y pousse des impôts"
"wiktionary.org","page web","un grain de poivre l'emporte sur une corbeille de citrouilles"
"wiktionary.org","page web","au royaume des aveugles, les borgnes sont rois"
"wiktionary.org","page web","la fourmi elle-même a sa colère"
"wiktionary.org","page web","sans pain et sans vin, l'amour n'est rien"
"wiktionary.org","page web","l'amour est aveugle"
"wiktionary.org","page web","qui fait le malin, tombe dans le ravin"
"wiktionary.org","page web","il faut se méfier de l'eau qui dort"
"wiktionary.org","page web","on ne fait pas d ?omelette sans casser des œufs"
"wiktionary.org","page web","chacun pour soi, Dieu pour tous"
"wiktionary.org","page web","les grands esprits se rencontrent"
"wiktionary.org","page web","un homme averti en vaut deux"
"wiktionary.org","page web","aussitôt dit, aussitôt fait"
"wiktionary.org","page web","la lumière voyage plus vite que le son. C'est pourquoi certaines personnes paraissent brillantes jusqu'à ce qu'elles commencent à parler"
"wiktionary.org","page web","seuls ceux qui ne font jamais rien ne se trompent jamais"
"wiktionary.org","page web","l'amour et la fortune sont aveugles"
"wiktionary.org","page web","qui m'aime me suive"
"wiktionary.org","page web","il faut tourner sept fois sa langue dans sa bouche avant de parler"
"wiktionary.org","page web","on ne lance pas de pierre quand on vit dans une maison de verre"
"wiktionary.org","page web","chacun voit midi à sa porte"
"wiktionary.org","page web","les loups ne se mangent pas entre eux"
"wiktionary.org","page web","un homme sans argent est un loup sans dents"
"wiktionary.org","page web","aux grands maux les grands remèdes"
"wiktionary.org","page web","la monnaie du diable est de faux or"
"wiktionary.org","page web","seuls les imbéciles ne changent jamais d ?avis"
"wiktionary.org","page web","l'amour ne fait pas bouillir la marmite"
"wiktionary.org","page web","qui ne dit mot consent"
"wiktionary.org","page web","il n'est pire aveugle que celui qui ne veut pas voir"
