"concept","type","valeur"
"haiti-reference.com","page web","Gwo vant pa di lajan."
"haiti-reference.com","page web","Aprè dans, tanbou lou."
"haiti-reference.com","page web","Bonjou-l pa la verite."
"haiti-reference.com","page web","Ou jis dèyè kamyonèt la."
"haiti-reference.com","page web","Lajan pa al gangan pou-l tounen."
"haiti-reference.com","page web","Lamou pa konn dèyè pyese."
"haiti-reference.com","page web","Se lè kabwit fin pase wap rele fèmen baryè."
"haiti-reference.com","page web","Malere se dan devan."
"haiti-reference.com","page web","Jan chat mache se pa jan-an li chase rat."
"haiti-reference.com","page web","Vwazinaj se dra blan.."
"haiti-reference.com","page web","Fè zanmi ak kouto anvan zabriko mi."
"haiti-reference.com","page web","Depi na&nbsp; ginen, nèg rayi nèg."
"haiti-reference.com","page web","Li pa konnen non chen-l."
"haiti-reference.com","page web","Bèl fanm pa vle di bon ménaj."
"haiti-reference.com","page web","Kite kantik pran priyè."
"haiti-reference.com","page web","Nan mal, nan mal nèt."
"haiti-reference.com","page web","Fòk ou konn la, pou al la."
"haiti-reference.com","page web","Manje kwit pa gen mèt."
"haiti-reference.com","page web","Lè vant chat plen, ke rat anmè."
"haiti-reference.com","page web","Chay sot sou tèt li tonbe sou zepòl."
"haiti-reference.com","page web","Fòk ou pase maladi, pou konn remèd."
"haiti-reference.com","page web","Men ale, men vini zanmi dire."
"haiti-reference.com","page web","Kòfrefò pa swiv kòbya."
"haiti-reference.com","page web","Bèl cheve pa lajan."
"haiti-reference.com","page web","De je kontre manti kaba."
"haiti-reference.com","page web","Ròch nan dlo pa konn doulè ròch nan solèy"
"haiti-reference.com","page web","Si-w renmen po-a fò-k renmen grenn la tou."
"haiti-reference.com","page web","File kouto, men veye dwèt ou."
"haiti-reference.com","page web","Bèl fanm se traka."
"haiti-reference.com","page web","Mwen byen sangle, mwen pap foule."
"haiti-reference.com","page web","Lè marengwen ap vole, ou pa konn kilès ki mal, kilès ki fimèl."
"haiti-reference.com","page web","Yon sèl dwèt pa manje kalalou."
"haiti-reference.com","page web","Kapab pa soufri."
"haiti-reference.com","page web","Fanm jalou pa gra."
"haiti-reference.com","page web","Nèg sòt mare chwal li, nèg lespri paka lage-l."
"haiti-reference.com","page web","Bèl parol pa vle di verite pou sa."
"haiti-reference.com","page web","Pitit tig se tig."
"haiti-reference.com","page web","Sa-k fèt fèt."
"haiti-reference.com","page web","Mete chat veye mantèg."
"haiti-reference.com","page web","Devenn se pian."
"haiti-reference.com","page web","Kochon maron konnen sou ki bwa poul frote."
"haiti-reference.com","page web","Moun ki manje pou kont yo pa janm grangou."
"haiti-reference.com","page web","Lajan al kay lajan."
"haiti-reference.com","page web","Bèf pou wa, savann pou wa, ya demele yo."
"haiti-reference.com","page web","Rayi chen di dan-l blanch."
"haiti-reference.com","page web","Akrèk pa bay."
"haiti-reference.com","page web","A defo chen, kabrit al lachas."
"haiti-reference.com","page web","Bourik chaje pa kanpe."
"haiti-reference.com","page web","Je wè, bouch pe."
"haiti-reference.com","page web","Chen ki gen zo pa gen zanmi."
"haiti-reference.com","page web","Mache chèche pajanm dòmi san soupe."
"haiti-reference.com","page web","Li se kouto de bò."
"haiti-reference.com","page web","Zafè kabwit pa zafè mouton."
"haiti-reference.com","page web","Lanmè pa kenbe kras."
"haiti-reference.com","page web","Volè pa janm renmen volè parèy li."
"haiti-reference.com","page web","Sa je pa wè, kè pa tounen."
"haiti-reference.com","page web","Bouch manje tout manje, li pa pale tout paròl."
"haiti-reference.com","page web","Tèt ki abitye met chapo ap toujou met chapo."
"haiti-reference.com","page web","Bwè dlo, respekte vè."
"haiti-reference.com","page web","Sa chat konnen, se sa li montre pitit li."
"haiti-reference.com","page web","Lè-w gen devèn, lèt kaye kase tè ou."
"haiti-reference.com","page web","Nèg sòt mare kòd li, nèg lespwi pakab demawe-l."
"haiti-reference.com","page web","Avèk patyans, wa wè tete foumi."
"haiti-reference.com","page web","Lajan fè chen danse."
"haiti-reference.com","page web","Bwa ki nan men-w, se avèk li ou pouse chen."
"haiti-reference.com","page web","Abitid se vis."
"haiti-reference.com","page web","Anvi tout, pédi tout."
"haiti-reference.com","page web","Bouche nen-w pou bwè dlo santi."
"haiti-reference.com","page web","Bourik fè pitit pou do-l poze."
"haiti-reference.com","page web","Kabwit di sak nan vant li se li ki pa-l."
"haiti-reference.com","page web","Fiyèl mouri, makomè kaba."
"haiti-reference.com","page web","Makak pa jwe ak tig."
"haiti-reference.com","page web","Mezi lajan-w mezi wanga-w."
"haiti-reference.com","page web","Ti moun fronte fè bab nan simityè."
"haiti-reference.com","page web","Bwè dlo repekte vè."
"haiti-reference.com","page web","Zonbi ki goute sèl, pa mande rete."
"haiti-reference.com","page web","Kabwit pa mare nan pikèt bèf."
"haiti-reference.com","page web","Sa ki ba bon pou sak, ou pa bay makout li."
"haiti-reference.com","page web","Sa manman chat konnen, manman chat konnen-l tou."
"haiti-reference.com","page web","Lè-w pa gen chans, lèt kaye kase tèt ou."
