VM,nom,IP_DMZ,IP_public,FQDN,HTTPS,urlPublicDomainNew,
201,jdc,192.168.30.232,193.54.152.41,jardindesconnaissances.univ-paris8.fr,OK,,
203,digitaluses-congress,192.168.30.219,193.54.152.31,digitaluses-congress.univ-paris8.fr,OK,,
204,paragraphe,192.168.30.224,193.54.152.43,paragraphe.univ-paris8.fr,KO : problème de nom de domaine,,
205,ADACEMU,192.168.30.214,193.54.152.33,adacemu.univ-paris8.fr,OK,,
208,polemika,192.168.30.230,193.54.152.34,polemika.univ-paris8.fr,OK,,
209,ontostats,192.168.30.222,193.54.152.38,ontostats.univ-paris8.fr,OK,,
210,samszo,192.168.30.223,193.54.152.36,samszo.univ-paris8.fr,OK,,
211,isaleh,192.168.30.216,193.54.152.37,isaleh.univ-paris8.fr,OK,,
215,machinealire,192.168.30.225,193.54.152.39,machinealire.univ-paris8.fr,OK,http://machinealire.univ-paris8.fr/,
216,lireensemble,192.168.30.233,193.54.152.40,lire-ensemble.univ-paris8.fr,OK,,
218,hom,192.168.30.235,193.54.152.44,hom.univ-paris8.fr,KO : marche uniquement sur https://hom.univ-paris8.fr et pas sur www...,,
219,pepe,192.168.30.201,193.54.152.45,pepe.univ-paris8.fr,OK,,
221,iot,192.168.30.206,193.54.152.50,iot.univ-paris8.fr,,,
223,AVUN,192.168.30.203,193.54.152.47,avun.univ-paris8.fr,,,Modif ok a tester
224,promo-THYP,192.168.30.204,193.54.152.48,promo-thyp.univ-paris8.fr,,,
225,BOT,192.168.30.205,193.54.152.49,bot.univ-paris8.fr,,,
226,bootz,192.168.30.207,193.54.152.51,bootz.univ-paris8.fr,,,
227,arcanes,192.168.30.208,193.54.152.52,arcanes.univ-paris8.fr,,,
228,archives-creatic,192.168.20.192,193.54.152.35,creatic-archives.univ-paris8.fr,a revoir,,
229,uoh-psy,192.168.30.209,193.54.152.53,uoh-psy.univ-paris8.fr,,https://uoh-psy.univ-paris8.fr,
