,"Membre de",Laboratoire,Université,Affiliation,"A pour ville",Nom,"A pour clé de tri"
"Marc Augier","SKEMA Business School",,,"SKEMA Business School",,"Marc AUGIER",
"Ignacio Aedo","Université Carlos III de Madrid",,"Université Carlos III de Madrid",,Madrid,"Ignacio Aedo",
"Étienne Armand Amato","Université Paris 8,Paragraphe (laboratoire)","Paragraphe (laboratoire)",,"Université Paris 8",Paris,"Étienne Armand Amato",
"Jacques André","Université de Rennes 1,Institut de Recherche en Informatique et Automatique",,"Université de Rennes 1","Institut de Recherche en Informatique et Automatique",Rennes,"Jacques André",
"Jacques Anis","Université Paris Ouest Nanterre La Défense",,"Université Paris Ouest Nanterre La Défense",,Paris,"Jacques Anis",
"Bérenger Arnaud","Université Montpellier 2,Laboratoire d'informatique, de robotique et de microélectronique de Montpellier",,"Université Montpellier 2","Laboratoire d'informatique, de robotique et de microélectronique de Montpellier",Montpellier,"Bérenger Arnaud",
"Michel Arnaud","Institut national des sciences appliquées de Lyon",,"Institut national des sciences appliquées de Lyon",,Lyon,"Michel Arnaud",
"Atau Tanaka",,,,,Tokyo,"Atau Tanaka",
"Aude Dufresne","Université de Montréal",,,"Université de Montréal",Montréal,"Aude Dufresne",
"Nicolas Auray","Centre national de la recherche scientifique,Laboratoire de mécanique et génie civil","Laboratoire de mécanique et génie civil",,"Centre national de la recherche scientifique",Montpellier,"Nicolas Auray",
"Ghislaine Azemard","Université Paris 8,Paragraphe (laboratoire)","Paragraphe (laboratoire)",,"Université Paris 8",Paris,"Ghislaine Azemard",
"Belhassen Baddredine","Université de Carthage,Institut supérieur des langues appliquées et d'informatique de Nabeul",,,"Université de Carthage",,"Belhassen Baddredine",
"Jean-François Balaude","Université Paris Ouest Nanterre La Défense",,"Université Paris Ouest Nanterre La Défense",,Paris,"Jean-François Balaude",
"Jean-Pierre Balpe","Université Paris 8,Paragraphe (laboratoire)","Paragraphe (laboratoire)",,"Université Paris 8",Paris,"Jean-Pierre Balpe",
"Alain Balseiro","Université Paris 13",,,"Université Paris 13",,"Alain Balseiro",
"Claude Baltz","Université Paris 8,Paragraphe (laboratoire)","Paragraphe (laboratoire)",,"Université Paris 8",Paris,"Claude Baltz",
"Sabine Barrat","Université François-Rabelais de Tours",,,"Université François-Rabelais de Tours",,"Sabine Barrat",
"Serge Bauin",,,,,,"Serge Bauin",
"Ali Ben Cherif","Université Paris 8",,,"Université Paris 8",Paris,"Ali Ben Cherif",
"Aurélien Benel","Université de technologie de Troyes",,"Université de technologie de Troyes",,Troyes,"Aurélien Benel",
"Bernard Idelson","Université de La Réunion",,"Université de La Réunion",,,"Bernard Idelson",
"Tim Berners-Lee","Massachusetts Institute of Technology,World Wide Web Consortium",,"Massachusetts Institute of Technology","World Wide Web Consortium",Boston,"Tim Berners-Lee",
"Pierre-Henri Bertin","École des Ponts ParisTech",,,"École des Ponts ParisTech",Paris,"Pierre-Henri Bertin",
"Bertrand Legendre","Université Paris 13,Laboratoire des Sciences de l'Information et de la Communication","Laboratoire des Sciences de l'Information et de la Communication","Université Paris 13",,,"Bertrand Legendre",
"Michel Biezunski","Université de technologie de Compiègne",,,"Université de technologie de Compiègne",Compiègne,"Michel Biezunski",
"Jean-Claude Bignon","École nationale supérieure d'architecture de Strasbourg,Centre de recherche en architecture et ingénierie",,,"École nationale supérieure d'architecture de Strasbourg,Centre de recherche en architecture et ingénierie",Nancy,"Jean-Claude Bignon",
"Jean-Charles Billaut","Université François-Rabelais de Tours,Laboratoire d'Informatique EA 2101",,"Université François-Rabelais de Tours","Laboratoire d'Informatique EA 2101",,"Jean-Charles Billaut",
"Serge Bouchardon","Université de technologie de Compiègne",,"Université de technologie de Compiègne",,Compiègne,"Serge Bouchardon",
"Nasreddine Bouhai","Université Paris 8,Paragraphe (laboratoire)","Paragraphe (laboratoire)",,"Université Paris 8",Paris,"Nasreddine Bouhai",
"Nasser Bouhai","Université Paris 8,Paragraphe (laboratoire)","Paragraphe (laboratoire)",,"Université Paris 8",Paris,"Nasser Bouhai",
"Hafida Boulekbache-Mazouz","Université de Valenciennes et du Hainaut-Cambrésis",,,"Université de Valenciennes et du Hainaut-Cambrésis",Valenciennes,"Hafida Boulekbache-Mazouz",
"Martine Bour","Université Paris 8,Paragraphe (laboratoire)","Paragraphe (laboratoire)",,"Université Paris 8",Paris,"Martine Bour",
"Cyrill Boyarskij","Université européenne à Saint-Pétersbourg,Institut d’économie et de mathématiques de l’Académie des Sciences de la Russie",,"Université européenne à Saint-Pétersbourg","Institut d’économie et de mathématiques de l’Académie des Sciences de la Russie",Saint-Pétersbourg,"Cyrill Boyarskij",
"Eric Brangier","Université Paul Verlaine",,,"Université Paul Verlaine",Metz,"Eric Brangier",
